area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.27761066759451475,0.14313937037476812,0.4112239717574598,0.42516224774176514,0.49694669152997883,0.6407009974069808,0.6940966313831952,0.766519093638499,0.5262319482140418,0.238064838099375,0.5082543233833505,0.47286129278095973,0.3863466035607554,0.377173116659897,0.8856553413506632,0.6942353373234783,0.4113901896337367,0.13075306162190292,0.4697863811904337,0.1628097225486765,0.4068490095186795,0.653143927283764,0.2477517724736426,0.30167926849320764,0.3645314327067212,0.3908434297063472,0.37324717750489445,0.3569969963208022,0.5436842118108475,0.798131773740388,0.7156565846808103,0.3520344027748126,0.741332267852084
caudalanteriorcingulate,0.27761066759451475,1.0,0.03456204922666853,0.3356533866080344,0.5884036367653771,0.14084291950696914,0.4684238833234708,0.25463428535584165,0.2615377315433301,0.21334541976569302,0.4935414965534528,0.33820514413717095,0.1580510896073372,0.32636775273281765,0.09325205380687628,0.2758030746347507,0.42978412504875674,0.5818623249634336,0.031690031233270285,0.1551629539853225,0.04515561720616257,0.323885205154192,0.20371246681643598,0.7961591063460082,0.0826566202505747,0.4927109139914771,0.9125846237183898,0.11191746094052399,0.2626494114568544,0.3296792110938729,0.25494109027064055,0.17285720387522863,0.09983245851447711,0.22226665927872916
caudalmiddlefrontal,0.14313937037476812,0.03456204922666853,1.0,0.02079076920806099,0.014079065665214873,0.2669616488505951,0.04107076916719732,0.32858891653447914,0.09311810933331309,0.2693035190655134,-0.009265635493557899,0.04169034085961265,0.11963236597082044,0.01149207933787004,0.0513622085760188,0.1394337637102234,0.32244409329211093,0.004497128390479846,0.8590900707660042,0.3998115938317853,0.6827958332991877,0.007235228756412144,0.2558543201401626,0.013764272481783472,0.7507928409099865,0.047823373058992695,0.06329780115305704,0.6294550589366247,0.8125956211533562,0.24593922753282932,0.13399145589884526,0.3205066080351626,0.03045640061318354,0.15230207640859209
cuneus,0.4112239717574598,0.3356533866080344,0.02079076920806099,1.0,0.3664999568172926,0.20811218581892424,0.6711057775586267,0.3884924095188229,0.39688708366863507,0.2864220534828104,0.43084588585978834,0.8766067279543029,0.2481015712330448,0.9030919400488655,0.14648259727873236,0.4018951716797534,0.5512613716932443,0.48818074193912403,0.020857640728367106,0.23208850390411762,0.03582230871551442,0.8999493930354653,0.3432080060165258,0.4148655994510493,0.13821098640455132,0.5133774791514775,0.36463580701415504,0.1671624009815183,0.1861692964408164,0.46058844723306497,0.3703898650682656,0.3106512036118987,0.14833761864843292,0.3172997537022961
entorhinal,0.42516224774176514,0.5884036367653771,0.014079065665214873,0.3664999568172926,1.0,0.38575495943386007,0.6679508823612514,0.35761093349659906,0.45545989009707644,0.40228261381088926,0.503326066590703,0.3915683183538661,0.5322223170844186,0.3672432175104548,0.44769616552664504,0.4462058307697091,0.46999953331533384,0.7886510793561126,0.014449525668510588,0.3976932225985001,0.04236385556862768,0.3613430157498753,0.238806833735291,0.5456198701331197,0.09364274171164003,0.42916697529781256,0.680352884490004,0.15881536659529172,0.21272215126993022,0.3764150097627029,0.4388622279993392,0.24935980353453593,0.5257360325548488,0.3219883320716799
frontalpole,0.49694669152997883,0.14084291950696914,0.2669616488505951,0.20811218581892424,0.38575495943386007,1.0,0.36598039495572904,0.44873255756145514,0.5251877438058958,0.6016130001649452,0.10566456204025733,0.2871879372605736,0.7634429756316743,0.188377655529713,0.8548361070609501,0.5551314709544167,0.44529676645695193,0.16933304620683426,0.3349661684515654,0.7370615143902626,0.4039470447270494,0.2202862769529048,0.3163710654771423,0.12219456250923169,0.22862761360001127,0.2239760776670896,0.3677197889397989,0.627677575696996,0.5166927418866668,0.3869226124053517,0.5427593912614702,0.3356141206189411,0.6084487063613028,0.3751034454321302
fusiform,0.6407009974069808,0.4684238833234708,0.04107076916719732,0.6711057775586267,0.6679508823612514,0.36598039495572904,1.0,0.5760102067137544,0.7068580647453084,0.4740660676402549,0.39470651861926465,0.7634779186642379,0.433507360724112,0.6903886317411404,0.3068705003012045,0.6767363461313994,0.6829150777677999,0.786607649613044,0.04256052943708847,0.3885117175872583,0.0692874907995998,0.6342135179191265,0.4242044646116652,0.463140176813898,0.15754771246155921,0.5357196904222316,0.5456668171437221,0.22837953813538464,0.26062003463969835,0.5828128412379499,0.6050908405689808,0.4120175443187659,0.32747964558008014,0.4996982257916193
inferiorparietal,0.6940966313831952,0.25463428535584165,0.32858891653447914,0.3884924095188229,0.35761093349659906,0.44873255756145514,0.5760102067137544,1.0,0.7113512107568508,0.5718628086888163,0.26312209907851475,0.4647541895286312,0.41560193249468397,0.3145840466903426,0.2804909764161296,0.7677613115259457,0.7442158493560546,0.3444902503179507,0.3733406414215076,0.5404863436495392,0.39617753318238114,0.3627854876111774,0.49456490395016495,0.2480862894463456,0.3575794817930616,0.48916616363432647,0.35864707693341297,0.4654579036840639,0.5264299096500534,0.7558189693148535,0.6660358350016758,0.5258117352866664,0.29156121686095415,0.5201163982388909
inferiortemporal,0.766519093638499,0.2615377315433301,0.09311810933331309,0.39688708366863507,0.45545989009707644,0.5251877438058958,0.7068580647453084,0.7113512107568508,1.0,0.5457033305504824,0.231142682048111,0.5236718302398575,0.5191527132435869,0.36803513633569457,0.41955479137798457,0.9203166464436798,0.65592022556936,0.42599252957941347,0.1220099462044818,0.503586744410682,0.1680348395971933,0.3809757940879989,0.452095720165428,0.23244723325382993,0.1600270546509378,0.3985320204904241,0.3805206762375455,0.34978174563649944,0.3294811946462791,0.5461683694962535,0.7442745760632302,0.43297853427834404,0.41951910209072635,0.5342198476621216
insula,0.5262319482140418,0.21334541976569302,0.2693035190655134,0.2864220534828104,0.40228261381088926,0.6016130001649452,0.4740660676402549,0.5718628086888163,0.5457033305504824,1.0,0.172199659162568,0.3470610695500503,0.7063839393518693,0.24407914808796843,0.4935263690561847,0.5847916174659473,0.5724022581512485,0.25682330607308074,0.3320858177739143,0.7584056778407984,0.4283314723727792,0.28721420463199276,0.3723407786037252,0.2106944176442106,0.2767961883364991,0.328547889149571,0.35855013294696414,0.47758819755303106,0.464163470992103,0.5408863641752626,0.650484781306042,0.39302233828275274,0.5933608411256589,0.4429604155199236
isthmuscingulate,0.238064838099375,0.4935414965534528,-0.009265635493557899,0.43084588585978834,0.503326066590703,0.10566456204025733,0.39470651861926465,0.26312209907851475,0.231142682048111,0.172199659162568,1.0,0.3728513322672825,0.14662482688572895,0.414633237970036,0.06287936771711973,0.24368328510557768,0.4637714448665073,0.5488144311986899,-0.0005222157860145753,0.15767755078788123,0.02264542461772077,0.4151168439058563,0.1624704382710694,0.672355698269349,0.03728047330039877,0.5797185394428224,0.4800779456581132,0.08781091503488529,0.1500480120900373,0.3415371665434514,0.22939999561107374,0.14178223301754153,0.07853779904609412,0.18811946387355596
lateraloccipital,0.5082543233833505,0.33820514413717095,0.04169034085961265,0.8766067279543029,0.3915683183538661,0.2871879372605736,0.7634779186642379,0.4647541895286312,0.5236718302398575,0.3470610695500503,0.3728513322672825,1.0,0.3137589601359158,0.870355626247477,0.21712690920697253,0.514457084394889,0.5868674376817558,0.5093587118917822,0.04809528988028096,0.2924159482903916,0.06221746515612674,0.8271926152731142,0.41186457032552304,0.38472074630326003,0.17072687124376948,0.4907946940537582,0.38039998594965235,0.21206215071254675,0.22678950497497777,0.4968426023782932,0.4483757744670188,0.37560607601459484,0.19528567744101435,0.3936523488028522
lateralorbitofrontal,0.47286129278095973,0.1580510896073372,0.11963236597082044,0.2481015712330448,0.5322223170844186,0.7634429756316743,0.433507360724112,0.41560193249468397,0.5191527132435869,0.7063839393518693,0.14662482688572895,0.3137589601359158,1.0,0.2403225683256111,0.8245952042830158,0.5316704367136039,0.41966153087204827,0.22492863836766291,0.18424575172155053,0.7838103430679184,0.2816987102256588,0.26451619622711553,0.29407234345297484,0.15305609389800948,0.1641199903730584,0.2363050492745835,0.35046490048779616,0.3954281561374198,0.3181963851058251,0.38896552856001504,0.5773094227981669,0.31529582635551784,0.8594633616734118,0.3844468505803046
lingual,0.3863466035607554,0.32636775273281765,0.01149207933787004,0.9030919400488655,0.3672432175104548,0.188377655529713,0.6903886317411404,0.3145840466903426,0.36803513633569457,0.24407914808796843,0.414633237970036,0.870355626247477,0.2403225683256111,1.0,0.14461507707488774,0.3622130217897621,0.48198741690966934,0.5198234871484891,0.004627804682272763,0.2122278395035263,0.0173819068944114,0.8585024818881382,0.33020499100856116,0.4074317617942797,0.13417502799894698,0.4401872684828286,0.33863096141068705,0.13776968575625342,0.15559951907572075,0.3736354710302274,0.3065655186141273,0.29579316157067526,0.1334662728915835,0.2903278332268197
