area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.28507675541763494,0.4241494404730516,0.10863702622124229,0.25035830339608733,0.5209434643195919,0.4454465280613679,0.6728102620869949,0.7426410345407004,0.41885472829233245,0.12156590401583695,0.21519559302444674,0.496850806330507,0.09399031765194957,0.43162699597170245,0.8229342164618607,0.6525939100186371,0.22788225656232672,0.5328514063032415,0.5039336336365479,0.5712770836602864,0.11945152723126877,0.4896929124521483,0.2716824821510856,0.3044880318445871,0.30463564206150273,0.3410181302712258,0.6698058003164364,0.5831294726747376,0.569079336335955,0.651710796658153,0.6937271690253488,0.34285360404093446,0.37359775573240384
caudalanteriorcingulate,0.28507675541763494,1.0,0.09999240785712395,0.07312944052880319,0.6165847160953637,0.24557432086201822,0.3084552671042817,0.2233256139231029,0.26106562616468204,0.16066641686474606,0.40806626717429806,0.09812620159675296,0.24023143656416318,0.06661252379553631,0.19639199824156728,0.26231879632526106,0.3452918343468728,0.4459907534748706,0.1510397185650996,0.2515404489332885,0.2522340531341681,0.06251574582604325,0.15897331007666948,0.7479973745254098,0.04973891171161016,0.5410321760522777,0.9119295953522427,0.2748263317141239,0.5261249241590357,0.32407344054558596,0.2117826699597449,0.17891075166466427,0.13654123570299864,0.11644538685492752
caudalmiddlefrontal,0.4241494404730516,0.09999240785712395,1.0,0.04444145554042248,0.061975342031130476,0.3436790277004326,0.14855472667399142,0.4108507188471997,0.336151136442975,0.3061330331960003,0.051591402841613745,0.08885195927667836,0.27515748771873005,0.03639070817321056,0.2545578318342014,0.4022406853631858,0.4741428587706025,0.04854158059717865,0.7608040532275999,0.2861397940392282,0.39290765390968335,0.048614886921277266,0.33820507350746193,0.12450690181927455,0.7074578740976148,0.15648899375366793,0.11741573086674377,0.5884945928777511,0.6396769151911816,0.34766831826113154,0.3457436555305964,0.48750979271811506,0.21261637052899407,0.26392530806106035
cuneus,0.10863702622124229,0.07312944052880319,0.04444145554042248,1.0,0.17060158532254954,0.13816308106904446,0.6002636342573283,0.15211761953508485,0.14344780895953013,0.13887715333268433,0.15861746255306747,0.8477141494757119,0.22685044963024129,0.8586614409341289,0.09726532451485617,0.10164153901034215,0.2638733481712745,0.41661977470877815,0.07061910491949504,0.2113973353174223,0.16654559641979932,0.6949441851115277,0.08605452990971883,0.15237417456465557,0.023404952350081196,0.4639829535775973,0.060820377278196766,0.22050450019607654,0.1397698743662296,0.4379162281146033,0.11386939193292653,0.10903981451617244,0.09041351597509595,0.08176636825364178
entorhinal,0.25035830339608733,0.6165847160953637,0.061975342031130476,0.17060158532254954,1.0,0.37155581336257704,0.4492579256792766,0.22611429454077134,0.25714446652362455,0.22891134245621356,0.43257511825912454,0.18280940926918282,0.4256996736171109,0.1454308062745703,0.4046061073213797,0.2453169450584678,0.3216821125099169,0.6706827538750895,0.13458890871529447,0.4204906919188633,0.3641297548498323,0.10409397937478257,0.10725395118322863,0.47169913271723746,0.02673492855585965,0.48707005651588625,0.6564862054871999,0.29406148896922774,0.3933366093709347,0.3330792765923991,0.20823198835059334,0.1481650130488369,0.392733693774119,0.07604593616130235
frontalpole,0.5209434643195919,0.24557432086201822,0.3436790277004326,0.13816308106904446,0.37155581336257704,1.0,0.4029041168412111,0.39534622766325994,0.5427505603487552,0.6254555593529427,0.10814713574433726,0.21582148075749602,0.8376483098704429,0.12337804233470125,0.8909160478933793,0.5352095875245494,0.47118497846317914,0.22777058284676593,0.4991882989257013,0.8291016893159582,0.8002039634073824,0.14282021992747487,0.25000587332627217,0.19658338052854382,0.18369968883928028,0.25545098443168796,0.39844696567351046,0.7548590261436164,0.6137523564153526,0.3923063420813571,0.4310376074857944,0.3494813292005534,0.6871528857297334,0.22715937457964813
fusiform,0.4454465280613679,0.3084552671042817,0.14855472667399142,0.6002636342573283,0.4492579256792766,0.4029041168412111,1.0,0.41712415542873693,0.5121940301056354,0.2901106996487729,0.24028823735029126,0.7265994038495311,0.48112319106128265,0.6560656424797705,0.3139370279692591,0.43625932055545913,0.5434191668891791,0.6933450748089092,0.22460353478475478,0.4814588846562225,0.40905831589429376,0.5307592462023891,0.2411627091082116,0.3384645120745379,0.0811360060036654,0.549381095433599,0.3201266361933885,0.5151683151158984,0.3903396162842336,0.6050124676211767,0.33985676243555973,0.3101567246498731,0.2547546696505078,0.2039674790232761
inferiorparietal,0.6728102620869949,0.2233256139231029,0.4108507188471997,0.15211761953508485,0.22611429454077134,0.39534622766325994,0.41712415542873693,1.0,0.6218092329912154,0.3555714954642581,0.1287033055932019,0.23849955516843319,0.38442612038425367,0.11175750280379773,0.3111658025935401,0.6715595184875208,0.5873317620883739,0.2403568321814748,0.4689782990919219,0.4323199854570638,0.4758141444279708,0.09325708551996657,0.40607046710013,0.25183644337868905,0.297800361262098,0.3577633199435144,0.25164627084885327,0.6027914813569826,0.5067997233696083,0.5848228453183516,0.45237292891884806,0.5472613592922732,0.25463382322831396,0.29794821355705925
inferiortemporal,0.7426410345407004,0.26106562616468204,0.336151136442975,0.14344780895953013,0.25714446652362455,0.5427505603487552,0.5121940301056354,0.6218092329912154,1.0,0.3646112454388975,0.11279326775873745,0.2574588384100526,0.5062352919122529,0.13040207257699207,0.45388814401764316,0.8613237290434579,0.5191766624590061,0.24331295517721838,0.4242660103766097,0.5275861947978273,0.5500167505191695,0.1379440816701562,0.2562819574462755,0.23567872960878936,0.16915535712139218,0.29258223013537304,0.3153278827224069,0.6055333005156752,0.48159889014321045,0.46890077981914274,0.542677383835154,0.4037619767753672,0.3660647589537045,0.25588875340834394
insula,0.41885472829233245,0.16066641686474606,0.3061330331960003,0.13887715333268433,0.22891134245621356,0.6254555593529427,0.2901106996487729,0.3555714954642581,0.3646112454388975,1.0,0.07227828245836573,0.1854205694651713,0.6715883209075755,0.11455471030224108,0.5308245527765962,0.4034276539776609,0.4161693234194822,0.17713747738516056,0.4100797954594816,0.6277857001325909,0.7364896043762086,0.12377055895711944,0.2562922737239198,0.1590478966328817,0.22507174369850738,0.21569764248658388,0.24685000959625833,0.5362960001326281,0.43591050493978206,0.36936934558448153,0.4306367044317037,0.38888590158906194,0.42073494672214234,0.26350505413714853
