area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.06047931760926705,0.026976732373585072,0.049419529291257536,0.12723527485979547,0.03748277351745634,0.1865019891224487,0.3042688339215059,0.33690606557328623,0.17759091535843885,0.06786824809717402,0.08655576833925357,0.09051736589664035,0.04805125522539402,0.10504161714046678,0.508006221932434,0.08426271636964809,0.07378805437729491,0.042973638089328824,0.04711661171626436,0.05400984072130381,0.060279128058745,0.14296332292718567,0.08500722663709374,0.11068113127653961,0.07187769956412084,0.0779635004526203,0.034699151282771463,-0.008698672279086123,0.16767996138121252,0.418377283158398,0.29151963624950156,0.2623886472364836,0.35875465141040436
caudalanteriorcingulate,0.06047931760926705,1.0,0.08213481163853482,0.069536565588089,0.13408463060690973,0.0532948720176648,0.062341187559423646,0.09397517290297117,0.050448924887077744,0.05992511275820811,0.1767744125650369,0.057085490059317755,0.05941901827481585,0.0769796277483985,0.07699384374048406,0.06693945731819488,0.12390356109656035,0.07720632016562415,0.05640163480394886,0.08897628524559381,0.07671826019129604,0.07101764305380921,0.006259207511737667,0.320414917514906,0.0605277310896746,0.1827453718849535,0.44918044803539897,0.13835344714786613,0.2957731771790663,0.14659448779966652,0.05069425440339626,0.04329632189177805,0.05586252416377975,0.01694491065953823
caudalmiddlefrontal,0.026976732373585072,0.08213481163853482,1.0,-0.008952809481609201,0.009833692162301295,0.03240837143898832,0.006157087500125325,0.06413997505589379,0.047462504242810157,0.05265004582012609,-0.01288697053614927,-0.0032207526907370686,0.052195311200462696,-0.038973306983007265,0.05661765238645332,0.035780546918345355,0.08609296330995689,-0.015478243611396596,0.259946427853002,0.06263517996498136,0.04018838625687447,-0.029511969817037402,0.06053796503057202,0.05123366468889068,0.285876945778715,0.025862821905506362,0.05634003419325725,0.14923710776454518,0.28810711554091417,0.08919973798947363,0.018240826601100765,0.034645224662936236,0.061967498846555,0.0067456241552068625
cuneus,0.049419529291257536,0.069536565588089,-0.008952809481609201,1.0,0.04792102811278628,0.000987334313046983,0.05582580551464738,0.14828262170572803,0.058761809516129665,0.03962616625928755,0.1875410122983749,0.21953303870644975,-0.006780314956752304,0.4945494609305835,0.012673652239722234,0.04773867778346333,0.20005275803603514,0.07343858514438147,-0.009253246189574064,0.013143518026550465,0.014986044675026887,0.6489417123238594,0.11038715252325218,0.12242762211076046,0.11223214808639108,0.23598369369793,0.04387129546153974,0.025232827263015786,0.025132620426329272,0.18395040479695218,0.04792480970884341,0.08801000687793913,0.03723892155508393,0.03302445950935755
entorhinal,0.12723527485979547,0.13408463060690973,0.009833692162301295,0.04792102811278628,1.0,0.03962844483835563,0.2229582436540009,0.14967190268512476,0.120354224935036,0.19345319953247517,0.13988653840219317,0.056686393693617984,0.16162522853652203,0.0645835376685453,0.16112942090121804,0.12399537732548871,0.06113278065122401,0.37952050429421474,0.08448061221298611,0.12843906718568332,0.1290887728748355,0.06142551762064449,0.04021160874338107,0.09444658664369802,0.05827763704898228,0.13057630514075447,0.15132299609192246,0.045117829278055105,0.08877424796688785,0.13033520045918456,0.1319017303236633,0.0742173172411942,0.3709213621811887,0.0826814272235269
frontalpole,0.03748277351745634,0.0532948720176648,0.03240837143898832,0.000987334313046983,0.03962844483835563,1.0,-0.00011959317120723087,0.024210707307238732,0.002698990166684237,0.2223853315031791,0.008201028199148641,0.03333447088695449,0.50369389611788,0.00942205974241246,0.6495878827175413,0.05391266032560291,0.059158474934905496,-0.02447174457690328,0.0989693338715328,0.27353854118076465,0.18074394237720198,0.04437347510094076,0.03531418991982047,0.020717524946677203,0.04952949341826005,-0.0387142104859792,0.1736688062294723,0.2102118258885331,0.09263264466113726,-0.0178469736404843,0.12697739833427643,0.057884949701941406,0.3168140950192287,0.12072213831211487
fusiform,0.1865019891224487,0.062341187559423646,0.006157087500125325,0.05582580551464738,0.2229582436540009,-0.00011959317120723087,1.0,0.17133254996789937,0.509496294496282,0.0726116805840342,0.07414672673616561,0.14463974891839962,0.05102835377794699,0.13321942641029783,0.05355589066238264,0.299959222318709,0.02449720250325641,0.36623644256021204,0.028251738615225043,0.054982529345240796,0.04517740499704122,0.10716925102697931,0.0008002179064667863,0.0665353096647268,0.060213311396614025,0.12517938582436364,0.08427659877459737,0.00912113171978433,0.0009961274296273308,0.1638836942752338,0.1858576855298987,0.055383323611027976,0.1422405427490925,0.08436337168038072
inferiorparietal,0.3042688339215059,0.09397517290297117,0.06413997505589379,0.14828262170572803,0.14967190268512476,0.024210707307238732,0.17133254996789937,1.0,0.2558226182532327,0.18981213690324608,0.10793489297702955,0.19859560439174806,0.09031056303258594,0.07093811490799279,0.09787226456918482,0.38612549324609347,0.13687922483401072,0.08011635844958542,0.08863971282224696,0.11542399123145777,0.11713973532661993,0.11536304091188034,0.137074433882854,0.07413398371716702,0.09830456847940883,0.20873363877412765,0.11950321388474758,0.12993981049469855,0.07684031460754376,0.46113878673640185,0.300284944188269,0.2952910139115043,0.21884798230214983,0.24429319075242575
inferiortemporal,0.33690606557328623,0.050448924887077744,0.047462504242810157,0.058761809516129665,0.120354224935036,0.002698990166684237,0.509496294496282,0.2558226182532327,1.0,0.12168140690197096,0.07282408411128952,0.09313587147834378,0.04758573796400446,0.060970746507119256,0.06289031602857956,0.6193937585517092,0.07151989156825383,0.13835440622122155,0.041188584118574886,0.01028822326138448,0.04623724273666278,0.08565252833576266,0.017338455307136805,0.04827666422141087,0.05470546009432727,0.1017330499571735,0.0673439186958139,0.0062066686465374185,0.012511551427787983,0.21343491437533435,0.3164923747461245,0.09274611067610355,0.19077352140436887,0.15842266217943268
insula,0.17759091535843885,0.05992511275820811,0.05265004582012609,0.03962616625928755,0.19345319953247517,0.2223853315031791,0.0726116805840342,0.18981213690324608,0.12168140690197096,1.0,0.02711996673942581,0.10338598073058938,0.39221086256523496,0.03669837917303855,0.3474802166840014,0.18689494385338248,0.07435555543815094,0.07173335721352903,0.13106131758419318,0.24618808700571276,0.2930409000548983,0.07272600242416898,0.07735151581771556,0.02829773559470664,0.03212260600952718,0.07517344221561345,0.13139403711871464,0.16496519501918908,0.10458718423903464,0.16888509925778392,0.34793018363197153,0.14519441738588607,0.48029171535966186,0.3079396319125263
