area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.01833390956016188,0.028779660022448854,0.024174073103753097,0.008765898824097219,-0.002810650884268653,0.03597580138279759,0.07373614138390024,0.0506764437753173,0.0066491322352143145,-0.017981498632706195,0.02136167141245999,-0.0242497739383269,0.010789201307795778,0.00044806628250475733,0.16503282556211993,0.03768714000524412,0.023070332247146195,0.030141354278524043,-0.009903059649475937,-0.03947254774308927,-0.01019465603082587,0.01629970612954531,-0.022162641744111134,0.0012785281490219661,-0.00082591279247435,0.02467408629185861,0.03525509277399497,0.016068406760900312,0.04299612277519848,0.11404443518001067,0.10687222073654118,0.023513186649686182,0.032766190052898714
caudalanteriorcingulate,0.01833390956016188,1.0,-0.002533045883338621,-0.00818161192544738,-0.03586603856658748,0.02129585488359328,-0.011849905415489938,-0.004313033307301459,0.00033622955027620964,-0.005930988533438661,-0.015473792555311451,0.0033066775909613914,0.025132659932988615,-0.0032235207706206087,-0.001326119377166432,-0.007826698191249625,0.0022493274018652795,-0.019873286612580976,-0.0017201228295872749,0.010837238785506248,0.0035290871103200432,0.013485538846699846,-0.03634154159026602,0.0743173475021432,-0.018658784112117372,0.03705709954297879,0.09823274292855179,0.02569337563312466,0.08476545592796374,-0.0020634827810836536,0.0034442400688228054,-0.0041431385091699685,-0.019671311669435976,0.015981798520327918
caudalmiddlefrontal,0.028779660022448854,-0.002533045883338621,1.0,0.0010052175899856236,0.011888326979615374,0.04656807272538316,0.023321911621998336,0.018059441706324703,0.03156717658328866,0.009675473305828497,-0.006258181161898564,0.04574445287004988,0.0035528229054630346,0.0050516604932955315,0.02261546110273485,0.03258447225623403,0.02372226908978309,-0.021743995411209544,0.05752681107392326,0.03229270467148169,0.01575955089898543,-0.0016128082532651945,0.022136069674314893,0.006476774521221134,0.09573656672418705,-0.0033889438427883575,0.0181900761153214,0.13952825774853586,0.11434508666325024,0.026176130861407514,-0.009952759603562896,0.01173013740063101,-0.01327591944460409,-0.02437806454966842
cuneus,0.024174073103753097,-0.00818161192544738,0.0010052175899856236,1.0,-0.005411276688959979,-0.011297925637019951,0.0009413006891010312,0.045700472435874474,-0.009408503817946117,-0.06643085756424598,0.017949066971596518,0.1040821855432395,0.01673001858887889,0.20271277859849746,-0.018623978531854712,-0.012676125722035634,0.01891848922164892,-0.013848632598415775,-1.3778882621616186e-05,-0.02002187889680687,-0.02477463198015546,0.5817122933990742,0.01030826040248548,0.006152257166032566,-0.003469337223286907,0.08292648756814909,-0.00726301986485175,0.012339362525879735,-0.016877825588138422,0.10587852485501387,0.03359194890273012,-0.0007307436944215381,0.03311514743564753,0.04275463793249696
entorhinal,0.008765898824097219,-0.03586603856658748,0.011888326979615374,-0.005411276688959979,1.0,0.012592606291299796,0.007910555376742208,0.021406184015013163,-0.0007903577849590982,-0.013356066792604124,0.036411972740795946,-0.003240723033790142,0.008861385210683772,0.0373826041698055,-0.00015289412695347498,0.023197399830639873,-0.006440145876191123,0.17430976545691562,-0.027439668943765726,-0.00882975314661517,-0.01441101051372092,0.008395342040980922,-0.015083928694484135,-0.029617690737464727,0.004187309134652388,-0.0023265111728133763,-0.01724283953224138,0.014089721198090698,-0.028370291268463594,-0.004486075402951715,-0.00364451752346524,-0.005273700462089347,0.08022481598472665,-0.012088934938302933
frontalpole,-0.002810650884268653,0.02129585488359328,0.04656807272538316,-0.011297925637019951,0.012592606291299796,1.0,-0.0003195078760068218,-0.017012215463928233,0.019390861003418212,0.038199774675405244,-0.03177884806562494,0.00495033149030658,0.0195410655054469,0.005102087143649381,0.2184175742293354,0.022817731950268292,-0.020615307667880684,0.0034607552295618346,0.034636411269378345,0.001870759792187567,0.007903249299893913,-0.01076801873659102,0.027898631664404337,-0.026099669857034533,-0.015470198592529925,-0.041256439859085774,0.020288703965889103,0.0950405019357738,0.0015533331980037706,-0.043776413491669997,0.006157218988244456,-0.02017342544578186,0.012781960776275799,-0.07263918524500254
fusiform,0.03597580138279759,-0.011849905415489938,0.023321911621998336,0.0009413006891010312,0.007910555376742208,-0.0003195078760068218,1.0,0.03650581950079524,0.16450451123038415,-0.021690437906546116,-0.02487279586572733,0.14595248223775467,0.0033125221429471286,0.06086262542237831,-0.010320704217230067,0.043024034079676664,0.0006735757959371727,0.19070602403707396,0.01413838428409349,-0.005196767105515468,0.014984513608481827,-0.004456096071047756,0.017725044201986045,0.020779564825529985,-0.028019485008913853,0.03343744967460528,-0.004206321241790524,-0.006130093905596297,0.007072546351812815,0.023285010546889348,0.015508367675659836,0.028381191972091473,0.03940473500414242,-0.006592638653277761
inferiorparietal,0.07373614138390024,-0.004313033307301459,0.018059441706324703,0.045700472435874474,0.021406184015013163,-0.017012215463928233,0.03650581950079524,1.0,0.07200972224784029,0.00821923314130354,0.021150217053252998,0.09460416257525513,0.022736198514127972,0.013700321834621568,0.013388910012012355,0.10531158474078645,-0.013934287872649217,0.02366691983581889,0.009528083323747563,0.016364916881523132,0.0036451604662987953,0.000469004499402603,0.0645388899105692,0.005280599005721873,0.06094396008122382,0.05014980247927774,0.0015784048431367445,0.028415773134539687,-0.0003380093558504002,0.10931223211282712,0.052140792957291925,0.13646389807299572,-0.010317593631773104,-0.011942180593792462
inferiortemporal,0.0506764437753173,0.00033622955027620964,0.03156717658328866,-0.009408503817946117,-0.0007903577849590982,0.019390861003418212,0.16450451123038415,0.07200972224784029,1.0,-0.027458747577473006,0.012857113387068875,0.0979201652750175,0.0023264482266420155,-0.001662062841858172,0.014553252682655693,0.21160458493123183,0.010027595406506006,0.053998004243804396,-0.00013857978276030485,0.027101302688789557,0.022820317136675906,-0.026938291836828433,0.025772175800644608,0.0204424423191431,-0.004405134088288091,0.012008180416415227,0.016718766278046922,0.03152375060783,-0.007614786685079336,-0.014029258390106235,0.0416179787381934,0.015178587867259476,-0.00515402233428514,-0.0084113967748335
insula,0.0066491322352143145,-0.005930988533438661,0.009675473305828497,-0.06643085756424598,-0.013356066792604124,0.038199774675405244,-0.021690437906546116,0.00821923314130354,-0.027458747577473006,1.0,-0.012214226159160029,0.02656860147894856,0.06326684485869584,-0.044569461462136174,0.039873475276765304,0.01792355525555674,-0.018913946771392787,-0.021049338679028445,0.030574661998399713,0.05830690541183426,0.03930218588536927,-0.059593405187959525,-0.02496488377571808,0.03257143076061208,-0.03171714621345584,-0.00543824043196887,0.03624103112571968,0.003263568152565499,0.013026982981094191,0.08163201501403292,0.08066955466614809,0.040505305707523656,0.12178839926687539,0.09183543844818098
