area,layer,population,0
bankssts,IV,E,1.325177180597019
bankssts,IV,I,1.325177180597019
bankssts,V,E,1.1958276519513489
bankssts,V,I,1.1958276519513489
bankssts,II/III,E,1.237919068438058
bankssts,II/III,I,1.237919068438058
bankssts,VI,E,1.1958276519513489
bankssts,VI,I,1.1958276519513489
caudalanteriorcingulate,IV,E,2.4553014310570846
caudalanteriorcingulate,IV,I,2.4553014310570846
caudalanteriorcingulate,V,E,2.3938493966860612
caudalanteriorcingulate,V,I,2.3938493966860612
caudalanteriorcingulate,II/III,E,2.516753465428108
caudalanteriorcingulate,II/III,I,2.516753465428108
caudalanteriorcingulate,VI,E,2.3938493966860612
caudalanteriorcingulate,VI,I,2.3938493966860612
caudalmiddlefrontal,IV,E,1.1506989744172718
caudalmiddlefrontal,IV,I,1.1506989744172718
caudalmiddlefrontal,V,E,1.0672022752254373
caudalmiddlefrontal,V,I,1.0672022752254373
caudalmiddlefrontal,II/III,E,0.705600873969628
caudalmiddlefrontal,II/III,I,0.705600873969628
caudalmiddlefrontal,VI,E,1.0672022752254373
caudalmiddlefrontal,VI,I,1.0672022752254373
cuneus,IV,E,1.4797276059720699
cuneus,IV,I,1.4797276059720699
cuneus,V,E,1.4125494342207046
cuneus,V,I,1.4125494342207046
cuneus,II/III,E,1.736828045748826
cuneus,II/III,I,1.736828045748826
cuneus,VI,E,1.4125494342207046
cuneus,VI,I,1.4125494342207046
entorhinal,IV,E,1.0027695325223138
entorhinal,IV,I,1.0027695325223138
entorhinal,V,E,1.0027695325223138
entorhinal,V,I,1.0027695325223138
entorhinal,II/III,E,1.0027695325223138
entorhinal,II/III,I,1.0027695325223138
entorhinal,VI,E,1.0027695325223138
entorhinal,VI,I,1.0027695325223138
frontalpole,IV,E,1.8566841330602744
frontalpole,IV,I,1.8566841330602744
frontalpole,V,E,1.671664649628333
frontalpole,V,I,1.671664649628333
frontalpole,II/III,E,2.028368163412571
frontalpole,II/III,I,2.028368163412571
frontalpole,VI,E,1.671664649628333
frontalpole,VI,I,1.671664649628333
fusiform,IV,E,1.3354055732948904
fusiform,IV,I,1.3354055732948904
fusiform,V,E,1.2200500259109293
fusiform,V,I,1.2200500259109293
fusiform,II/III,E,1.0613197330629915
fusiform,II/III,I,1.0613197330629915
fusiform,VI,E,1.2200500259109293
fusiform,VI,I,1.2200500259109293
inferiorparietal,IV,E,1.4040561941662362
inferiorparietal,IV,I,1.4040561941662362
inferiorparietal,V,E,1.1825778130038522
inferiorparietal,V,I,1.1825778130038522
inferiorparietal,II/III,E,1.3205809559861068
inferiorparietal,II/III,I,1.3205809559861068
inferiorparietal,VI,E,1.1825778130038522
inferiorparietal,VI,I,1.1825778130038522
inferiortemporal,IV,E,1.1658712667612041
inferiortemporal,IV,I,1.1658712667612041
inferiortemporal,V,E,1.0527225752149667
inferiortemporal,V,I,1.0527225752149667
inferiortemporal,II/III,E,1.0905955426837017
inferiortemporal,II/III,I,1.0905955426837017
inferiortemporal,VI,E,1.0527225752149667
inferiortemporal,VI,I,1.0527225752149667
insula,IV,E,1.9184377552845537
insula,IV,I,1.9184377552845537
insula,V,E,1.9184377552845537
insula,V,I,1.9184377552845537
insula,II/III,E,1.9184377552845537
insula,II/III,I,1.9184377552845537
insula,VI,E,1.9184377552845537
insula,VI,I,1.9184377552845537
isthmuscingulate,IV,E,0.933984441737407
isthmuscingulate,IV,I,0.933984441737407
isthmuscingulate,V,E,0.933984441737407
isthmuscingulate,V,I,0.933984441737407
isthmuscingulate,II/III,E,0.933984441737407
isthmuscingulate,II/III,I,0.933984441737407
isthmuscingulate,VI,E,0.933984441737407
isthmuscingulate,VI,I,0.933984441737407
lateraloccipital,IV,E,1.0417862810171747
lateraloccipital,IV,I,1.0417862810171747
lateraloccipital,V,E,1.2751774956583084
lateraloccipital,V,I,1.2751774956583084
lateraloccipital,II/III,E,0.6858993159147161
lateraloccipital,II/III,I,0.6858993159147161
lateraloccipital,VI,E,1.2751774956583084
lateraloccipital,VI,I,1.2751774956583084
lateralorbitofrontal,IV,E,1.404541470983214
lateralorbitofrontal,IV,I,1.404541470983214
lateralorbitofrontal,V,E,1.404541470983214
lateralorbitofrontal,V,I,1.404541470983214
lateralorbitofrontal,II/III,E,1.404541470983214
lateralorbitofrontal,II/III,I,1.404541470983214
lateralorbitofrontal,VI,E,1.404541470983214
lateralorbitofrontal,VI,I,1.404541470983214
lingual,IV,E,0.7774642241086541
lingual,IV,I,0.7774642241086541
lingual,V,E,1.0147122534200848
lingual,V,I,1.0147122534200848
lingual,II/III,E,1.007098132883661
lingual,II/III,I,1.007098132883661
lingual,VI,E,1.0147122534200848
lingual,VI,I,1.0147122534200848
medialorbitofrontal,IV,E,1.6352960100573604
medialorbitofrontal,IV,I,1.6352960100573604
medialorbitofrontal,V,E,1.3589760834017741
medialorbitofrontal,V,I,1.3589760834017741
medialorbitofrontal,II/III,E,1.6939044601635318
medialorbitofrontal,II/III,I,1.6939044601635318
medialorbitofrontal,VI,E,1.3589760834017741
medialorbitofrontal,VI,I,1.3589760834017741
middletemporal,IV,E,1.3186419853573945
middletemporal,IV,I,1.3186419853573945
middletemporal,V,E,1.2679065952177366
middletemporal,V,I,1.2679065952177366
middletemporal,II/III,E,1.3259460545933777
middletemporal,II/III,I,1.3259460545933777
middletemporal,VI,E,1.2679065952177366
middletemporal,VI,I,1.2679065952177366
paracentral,IV,E,0.9712928970451559
paracentral,IV,I,0.9712928970451559
paracentral,V,E,0.9045212720834548
paracentral,V,I,0.9045212720834548
paracentral,II/III,E,0.7581082583570543
paracentral,II/III,I,0.7581082583570543
paracentral,VI,E,0.9045212720834548
paracentral,VI,I,0.9045212720834548
parahippocampal,IV,E,0.9626530574631975
parahippocampal,IV,I,0.9626530574631975
parahippocampal,V,E,0.9626530574631975
parahippocampal,V,I,0.9626530574631975
parahippocampal,II/III,E,0.9626530574631975
parahippocampal,II/III,I,0.9626530574631975
parahippocampal,VI,E,0.9626530574631975
parahippocampal,VI,I,0.9626530574631975
parsopercularis,IV,E,0.24216918069663626
parsopercularis,IV,I,0.24216918069663626
parsopercularis,V,E,0.1528324929132
parsopercularis,V,I,0.1528324929132
parsopercularis,II/III,E,0.478469262067109
parsopercularis,II/III,I,0.478469262067109
parsopercularis,VI,E,0.1528324929132
parsopercularis,VI,I,0.1528324929132
parsorbitalis,IV,E,1.4551365864933652
parsorbitalis,IV,I,1.4551365864933652
parsorbitalis,V,E,1.2770596980139537
parsorbitalis,V,I,1.2770596980139537
parsorbitalis,II/III,E,1.4743553678044923
parsorbitalis,II/III,I,1.4743553678044923
parsorbitalis,VI,E,1.2770596980139537
parsorbitalis,VI,I,1.2770596980139537
parstriangularis,IV,E,2.055443544752615
parstriangularis,IV,I,2.055443544752615
parstriangularis,V,E,1.779849879154788
parstriangularis,V,I,1.779849879154788
