area,layer,population,0
bankssts,IV,E,2.808650831420413
bankssts,IV,I,2.808650831420413
bankssts,V,E,2.4172182663056194
bankssts,V,I,2.4172182663056194
bankssts,II/III,E,2.6420114493884985
bankssts,II/III,I,2.6420114493884985
bankssts,VI,E,2.4172182663056194
bankssts,VI,I,2.4172182663056194
caudalanteriorcingulate,IV,E,2.9082601909154375
caudalanteriorcingulate,IV,I,2.9082601909154375
caudalanteriorcingulate,V,E,2.845824411134904
caudalanteriorcingulate,V,I,2.845824411134904
caudalanteriorcingulate,II/III,E,2.970695970695971
caudalanteriorcingulate,II/III,I,2.970695970695971
caudalanteriorcingulate,VI,E,2.845824411134904
caudalanteriorcingulate,VI,I,2.845824411134904
caudalmiddlefrontal,IV,E,2.720689655172414
caudalmiddlefrontal,IV,I,2.720689655172414
caudalmiddlefrontal,V,E,2.327205882352941
caudalmiddlefrontal,V,I,2.327205882352941
caudalmiddlefrontal,II/III,E,2.5982142857142856
caudalmiddlefrontal,II/III,I,2.5982142857142856
caudalmiddlefrontal,VI,E,2.327205882352941
caudalmiddlefrontal,VI,I,2.327205882352941
cuneus,IV,E,4.021447721179625
cuneus,IV,I,4.021447721179625
cuneus,V,E,3.186186186186186
cuneus,V,I,3.186186186186186
cuneus,II/III,E,3.1370826010544817
cuneus,II/III,I,3.1370826010544817
cuneus,VI,E,3.186186186186186
cuneus,VI,I,3.186186186186186
frontalpole,IV,E,1.5178846664895032
frontalpole,IV,I,1.5178846664895032
frontalpole,V,E,1.3441580891019094
frontalpole,V,I,1.3441580891019094
frontalpole,II/III,E,1.6240382483928824
frontalpole,II/III,I,1.6240382483928824
frontalpole,VI,E,1.3441580891019094
frontalpole,VI,I,1.3441580891019094
fusiform,IV,E,2.5111563215319697
fusiform,IV,I,2.5111563215319697
fusiform,V,E,2.1146205796969624
fusiform,V,I,2.1146205796969624
fusiform,II/III,E,2.267777804489215
fusiform,II/III,I,2.267777804489215
fusiform,VI,E,2.1146205796969624
fusiform,VI,I,2.1146205796969624
inferiorparietal,IV,E,3.1838958409450733
inferiorparietal,IV,I,3.1838958409450733
inferiorparietal,V,E,2.698844498502994
inferiorparietal,V,I,2.698844498502994
inferiorparietal,II/III,E,3.1406295189434106
inferiorparietal,II/III,I,3.1406295189434106
inferiorparietal,VI,E,2.698844498502994
inferiorparietal,VI,I,2.698844498502994
inferiortemporal,IV,E,2.535346958461446
inferiortemporal,IV,I,2.535346958461446
inferiortemporal,V,E,2.177168561969554
inferiortemporal,V,I,2.177168561969554
inferiortemporal,II/III,E,2.4424493534907
inferiortemporal,II/III,I,2.4424493534907
inferiortemporal,VI,E,2.177168561969554
inferiortemporal,VI,I,2.177168561969554
insula,IV,E,3.5075883522669855
insula,IV,I,3.5075883522669855
insula,V,E,3.5075883522669855
insula,V,I,3.5075883522669855
insula,II/III,E,3.5075883522669855
insula,II/III,I,3.5075883522669855
insula,VI,E,3.5075883522669855
insula,VI,I,3.5075883522669855
isthmuscingulate,IV,E,3.1932227549913965
isthmuscingulate,IV,I,3.1932227549913965
isthmuscingulate,V,E,3.1932227549913965
isthmuscingulate,V,I,3.1932227549913965
isthmuscingulate,II/III,E,3.1932227549913965
isthmuscingulate,II/III,I,3.1932227549913965
isthmuscingulate,VI,E,3.1932227549913965
isthmuscingulate,VI,I,3.1932227549913965
lateraloccipital,IV,E,3.9335106382978724
lateraloccipital,IV,I,3.9335106382978724
lateraloccipital,V,E,3.4870848708487086
lateraloccipital,V,I,3.4870848708487086
lateraloccipital,II/III,E,3.0473372781065087
lateraloccipital,II/III,I,3.0473372781065087
lateraloccipital,VI,E,3.4870848708487086
lateraloccipital,VI,I,3.4870848708487086
lateralorbitofrontal,IV,E,2.818605318666947
lateralorbitofrontal,IV,I,2.818605318666947
lateralorbitofrontal,V,E,2.818605318666947
lateralorbitofrontal,V,I,2.818605318666947
lateralorbitofrontal,II/III,E,2.818605318666947
lateralorbitofrontal,II/III,I,2.818605318666947
lateralorbitofrontal,VI,E,2.818605318666947
lateralorbitofrontal,VI,I,2.818605318666947
lingual,IV,E,3.7713501021924936
lingual,IV,I,3.7713501021924936
lingual,V,E,3.1895967395967393
lingual,V,I,3.1895967395967393
lingual,II/III,E,2.913620808591795
lingual,II/III,I,2.913620808591795
lingual,VI,E,3.1895967395967393
lingual,VI,I,3.1895967395967393
medialorbitofrontal,IV,E,1.6379310344827587
medialorbitofrontal,IV,I,1.6379310344827587
medialorbitofrontal,V,E,1.3965968586387434
medialorbitofrontal,V,I,1.3965968586387434
medialorbitofrontal,II/III,E,1.6535141800246609
medialorbitofrontal,II/III,I,1.6535141800246609
medialorbitofrontal,VI,E,1.3965968586387434
medialorbitofrontal,VI,I,1.3965968586387434
middletemporal,IV,E,2.1559322033898307
middletemporal,IV,I,2.1559322033898307
middletemporal,V,E,2.036101083032491
middletemporal,V,I,2.036101083032491
middletemporal,II/III,E,2.171898355754858
middletemporal,II/III,I,2.171898355754858
middletemporal,VI,E,2.036101083032491
middletemporal,VI,I,2.036101083032491
paracentral,IV,E,2.8130563798219583
paracentral,IV,I,2.8130563798219583
paracentral,V,E,2.399408284023669
paracentral,V,I,2.399408284023669
paracentral,II/III,E,2.694915254237288
paracentral,II/III,I,2.694915254237288
paracentral,VI,E,2.399408284023669
paracentral,VI,I,2.399408284023669
parahippocampal,IV,E,2.2292942228244934
parahippocampal,IV,I,2.2292942228244934
parahippocampal,V,E,2.2292942228244934
parahippocampal,V,I,2.2292942228244934
parahippocampal,II/III,E,2.2292942228244934
parahippocampal,II/III,I,2.2292942228244934
parahippocampal,VI,E,2.2292942228244934
parahippocampal,VI,I,2.2292942228244934
parsopercularis,IV,E,1.9671457905544147
parsopercularis,IV,I,1.9671457905544147
parsopercularis,V,E,1.829059829059829
parsopercularis,V,I,1.829059829059829
parsopercularis,II/III,E,1.8222591362126246
parsopercularis,II/III,I,1.8222591362126246
parsopercularis,VI,E,1.829059829059829
parsopercularis,VI,I,1.829059829059829
parsorbitalis,IV,E,1.5609375
parsorbitalis,IV,I,1.5609375
parsorbitalis,V,E,1.3840245775729647
parsorbitalis,V,I,1.3840245775729647
parsorbitalis,II/III,E,1.552924791086351
parsorbitalis,II/III,I,1.552924791086351
parsorbitalis,VI,E,1.3840245775729647
parsorbitalis,VI,I,1.3840245775729647
parstriangularis,IV,E,2.6313253012048192
parstriangularis,IV,I,2.6313253012048192
parstriangularis,V,E,2.292620865139949
parstriangularis,V,I,2.292620865139949
parstriangularis,II/III,E,2.2729007633587788
parstriangularis,II/III,I,2.2729007633587788
parstriangularis,VI,E,2.292620865139949
parstriangularis,VI,I,2.292620865139949
pericalcarine,IV,E,4.357142857142857
pericalcarine,IV,I,4.357142857142857
pericalcarine,V,E,3.5905797101449277
pericalcarine,V,I,3.5905797101449277
pericalcarine,II/III,E,3.2392739273927393
pericalcarine,II/III,I,3.2392739273927393
pericalcarine,VI,E,3.5905797101449277
pericalcarine,VI,I,3.5905797101449277
postcentral,IV,E,2.949785956790375
postcentral,IV,I,2.949785956790375
postcentral,V,E,2.5791465775595928
postcentral,V,I,2.5791465775595928
