area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.043816213269840344,0.35399940214546793,-0.010917198750732698,0.09158747879307527,0.1782618868595737,0.16374945886182776,0.37719287790598377,0.5740778506015066,0.37834147314359123,0.08287293786046412,0.07429814349242206,0.23884118349689615,-0.005115363376293353,0.22269406975046602,0.8129090847002957,0.3243054282140981,0.08018591486552411,0.4039959160127114,0.31089452070563023,0.40647018246297817,-0.03791098296349727,0.13944894250206155,0.08398991780286656,0.1693105509500007,0.05121502477008284,0.05003666710577023,0.3214821220276117,0.2762708564803191,0.3444021935204812,0.8146195131218764,0.430077170412872,0.35165469277114797,0.6656127790867291
caudalanteriorcingulate,0.043816213269840344,1.0,0.03833137735836103,-0.11137980412232006,0.9245923127782578,0.05376458882886866,-0.0999168903431968,-0.040692796851865734,0.024211358113636682,0.0020380848087774325,0.7312441053966854,-0.1418832950764251,-0.01557220313796328,-0.08006646311640224,0.07124387548105955,0.05590673701202522,-0.12367769948170808,0.40832417493838685,0.08417692204628956,-0.01399101044329598,0.04694757364467004,-0.10175664242500206,-0.06398461178188268,0.8679293057908081,-0.003501014605001381,0.4672740565300915,0.9666144259144485,-0.04229513074353064,0.5408122755625362,0.03494888535649823,0.03633731317179038,-0.04052529984556484,0.09795999407944321,0.003893967963122487
caudalmiddlefrontal,0.35399940214546793,0.03833137735836103,1.0,0.028763805908536406,0.08896601917474575,0.2968258271682661,0.15049965148660438,0.08604112604970361,0.30414288960494756,0.407434855460944,0.09692795297482287,0.09181284524644323,0.21735606416296835,0.04946237438559439,0.1923315822968858,0.3316092169814496,0.3748069969952155,0.10355993047016025,0.7863507026387373,0.2480913098874869,0.38917512955634403,0.01620090208287913,0.31469133649051934,0.06286374220649388,0.6821928387357228,-0.006627350513408122,0.042663569772292895,0.5696724747024938,0.6009221531664407,0.1613666382460381,0.40309989452573747,0.4346463836388096,0.24500068970051692,0.25718001410287716
cuneus,-0.010917198750732698,-0.11137980412232006,0.028763805908536406,1.0,0.019827910599420327,0.10197590970102748,0.6488931455300837,0.08627673479506198,0.06971948672159504,0.12012530890379487,0.045093531862363936,0.9015784930400174,0.2655613811760044,0.9193562497083086,0.05574553131196856,-0.006774360510535349,0.29042539079147056,0.5471815052659055,-0.013302534788727121,0.22869324294182106,0.07918924083242276,0.9277108777965374,0.08849059991806853,-0.02340648848521848,0.03579132383137915,0.17299814909928407,-0.11562424821887791,0.3187204525559754,0.0721540826323064,0.3211433146880611,0.07174391497379297,0.04911178646244146,0.05325935479785531,0.07630592389743866
entorhinal,0.09158747879307527,0.9245923127782578,0.08896601917474575,0.019827910599420327,1.0,0.1552116235092075,0.14628284220069865,-0.012755638792901793,0.11838868440126504,0.11080122802463442,0.7187622682393667,0.03698925194331872,0.14935300589919273,0.07642351456682579,0.1759501903678125,0.11832863905163216,-0.06911003012512143,0.612760961338437,0.1379599569142924,0.1462550337924863,0.16047129962064266,0.027722233126281078,-0.03200267514848103,0.798209135110001,0.020906408155439052,0.40478509642794064,0.915535112038868,0.12240906222904559,0.5564343432299005,0.08323793286198197,0.12102886692907515,0.0033599664967995948,0.22953175742022475,0.05007680085161481
frontalpole,0.1782618868595737,0.05376458882886866,0.2968258271682661,0.10197590970102748,0.1552116235092075,1.0,0.28690365799981676,0.10873843194476111,0.3352635524965492,0.6709530945818519,0.10630726999927216,0.1750437678755281,0.8379892010718558,0.12830504640270005,0.8944134800046722,0.27994242261611046,0.26741381826403027,0.2223820814576978,0.3548161968619186,0.8381735610065932,0.812687867695654,0.09591791022875724,0.05308262556418448,0.11052145860509738,0.17493486855773538,0.11916533443024138,0.10554110418593415,0.6794092170912255,0.4624813059213538,0.1875100469616238,0.4394375328679339,0.1629380067293793,0.7897308153084119,0.17255242877800864
fusiform,0.16374945886182776,-0.0999168903431968,0.15049965148660438,0.6488931455300837,0.14628284220069865,0.28690365799981676,1.0,0.17644992137916307,0.374696561752054,0.30418617034422357,0.03868627935717609,0.8124858606370854,0.515130927526392,0.749320938527306,0.2465869777561113,0.2416750112658041,0.3497423584380065,0.8121006921877337,0.12844820259121117,0.4933280067703215,0.3000807668669309,0.658858021553823,0.09557251236868836,-0.026162866570500792,0.05964560035210602,0.1196578617429188,-0.1010084975262077,0.5814355058600278,0.19766628650408255,0.35143182205206025,0.2893690687546425,0.13890773076409696,0.32237675980562447,0.18143752783311098
inferiorparietal,0.37719287790598377,-0.040692796851865734,0.08604112604970361,0.08627673479506198,-0.012755638792901793,0.10873843194476111,0.17644992137916307,1.0,0.4021742204958921,0.10034941779968701,0.028245470134057673,0.1916926785920915,0.12937273219332948,0.05753234183998478,0.10011179665358041,0.488449032754916,0.14429697533110347,0.059387498502110954,0.23895517669484434,0.27025247549287834,0.21528025794316435,0.04801862912947396,-0.17445533843978728,-0.011707154164103614,-0.109969093884524,0.23644820250494417,-0.02342036641478834,0.36473436079250965,0.19558756756734802,0.4613213198344967,0.3278826524987316,-0.034361225661865384,0.10095695209671635,0.22678948101210492
inferiortemporal,0.5740778506015066,0.024211358113636682,0.30414288960494756,0.06971948672159504,0.11838868440126504,0.3352635524965492,0.374696561752054,0.4021742204958921,1.0,0.4161625626890221,0.08035643755247932,0.23582689765753537,0.37165507006905824,0.08429264480113245,0.35127438289098006,0.8995880408680468,0.18794631193968075,0.17541344712083068,0.32540102388033265,0.4991641158912577,0.46007594576695465,0.04957918886859607,0.08286353924225441,0.07363790714337268,0.13204087195847605,0.008658616875303254,0.03557309659047128,0.47320648765942025,0.24897560318654577,0.2000312748153737,0.5795705789032264,0.2130096514942016,0.5814903281180301,0.1632455437981587
insula,0.37834147314359123,0.0020380848087774325,0.407434855460944,0.12012530890379487,0.11080122802463442,0.6709530945818519,0.30418617034422357,0.10034941779968701,0.4161625626890221,1.0,0.08399515205056347,0.20555309320679252,0.7459620368211173,0.14767785388492857,0.691799342352926,0.4141882858750783,0.3943107942475554,0.18876580943446766,0.3302934531189009,0.7504865711167189,0.8216460359679962,0.10786815670638546,0.26961408026245587,0.06248513292338204,0.30687842446835006,0.05713196325377001,0.05083861347401634,0.5499645367440812,0.377121779646647,0.2545833205892319,0.6283906722167943,0.3677815573659301,0.7245729637763239,0.3488261926892912
