area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.17383557931047738,0.253743078656342,0.19737869601966637,0.4526394800630508,0.29710858639733617,0.6796257666617861,0.6163383965818157,0.7555851211042998,0.5498473854826873,0.2674415889381284,0.37101062697135156,0.4401692179493668,0.16882248645338044,0.416676779746781,0.8346353861863461,0.3107730759025767,0.42525580216705383,0.19274146011529478,0.43024250437907813,0.2989535121719246,0.197440570311923,0.43057523274729287,0.2528647511142408,0.3253177331769871,0.2345445817811528,0.22951085821904102,0.34968470444110344,0.3266932501215211,0.426472295076759,0.8371525321339041,0.48147286760986685,0.7197749965747098,0.6432964016691746
caudalanteriorcingulate,0.17383557931047738,1.0,0.24962760125930808,0.33988278634962954,0.5130576857547139,0.307586711306485,0.2748671646662903,0.2547955150498295,0.17328074829810328,0.3037013987376324,0.7230472678619145,0.35217807982501254,0.22765551924581615,0.3247244754654236,0.2593344218105043,0.17864876884271663,0.5663939036938528,0.5273160196681842,0.21341934020202494,0.276868283705735,0.2620152000299017,0.3219527204291423,0.3369188320016302,0.8118009265959043,0.29543376186689935,0.5465491318981163,0.9552564717691259,0.32868318577645483,0.5810941104675433,0.3908208344981639,0.23567003737929437,0.3173128855773579,0.23012561576169616,0.2545563576690466
caudalmiddlefrontal,0.253743078656342,0.24962760125930808,1.0,0.3346729105525141,0.27242418693441717,0.5682450469995403,0.3707654989762143,0.5334478103263455,0.28818661936363027,0.5595405229021955,0.2283314829641614,0.4176300354951859,0.5180169832920775,0.3234612892621686,0.479699266688622,0.31832317331482035,0.4730126206259395,0.34702968143043594,0.9076036692730237,0.6766982779865016,0.8500258859707588,0.31157143741834015,0.44602377993151227,0.3012568254191071,0.6171210869677268,0.3649791712925547,0.32733710115846454,0.8670038036915675,0.8201341773684357,0.5127024953157925,0.3748804900885533,0.5353937428827379,0.31504310808818803,0.32485725035110946
cuneus,0.19737869601966637,0.33988278634962954,0.3346729105525141,1.0,0.43034464331870104,0.1228828859504621,0.45408930176252604,0.3912855755371887,0.20378924555206854,0.3015065142068039,0.6774691466526975,0.9432127506917757,0.17209738329458943,0.9792904866184744,0.0952832757022859,0.2167090865587462,0.6055380878025745,0.68134183362007,0.20616905585124579,0.19744602439757497,0.20298232187693405,0.9578425426348162,0.5164885551998994,0.5168250600720417,0.5323319318917876,0.8006176871842173,0.30404993361948085,0.28801203748385534,0.4057185238856458,0.756931397081402,0.2929478022064619,0.5149300462786927,0.13692026826624115,0.3195153875243228
entorhinal,0.4526394800630508,0.5130576857547139,0.27242418693441717,0.43034464331870104,1.0,0.2748028730942195,0.7015015223650161,0.43514086343131125,0.4844658634277034,0.47764337653973105,0.6753490961107439,0.5223013237270923,0.38299154580036754,0.4304472267247703,0.34457786581619704,0.4539519050262905,0.4920458822906572,0.8658907152048391,0.18640001615286625,0.3589148726702173,0.26653881041987276,0.43988194314825296,0.5023486908056307,0.5323483545958994,0.43609067803504076,0.5460632304065922,0.5115702877815115,0.318102923468095,0.43672857522801395,0.5478947987598229,0.5139368668555889,0.4856725228433775,0.5226485967894086,0.4766744441198229
frontalpole,0.29710858639733617,0.307586711306485,0.5682450469995403,0.1228828859504621,0.2748028730942195,1.0,0.4086942260314838,0.4347945448455244,0.40214542851238017,0.7315208937096133,0.14369321411280417,0.2240133651244414,0.8332584045205057,0.09309543304972095,0.9111487098165355,0.40782457326773974,0.41497303002119196,0.2211612524831267,0.5545259393086386,0.8465931997906695,0.6977604853643294,0.0977262980073148,0.27261287745039625,0.3349266312990952,0.2739380608581226,0.1805837334676598,0.4735202100144071,0.7770483584960491,0.7320384633299313,0.310197944705722,0.43682551101309386,0.27698685504334003,0.6042243974937979,0.35469995032889623
fusiform,0.6796257666617861,0.2748671646662903,0.3707654989762143,0.45408930176252604,0.7015015223650161,0.4086942260314838,1.0,0.664273315546516,0.8768902132737489,0.6469477935327617,0.459748601486214,0.6329083087250961,0.5491587441483959,0.4448887251548193,0.5150437712463807,0.8322117744638305,0.47397398818260844,0.7122569426432406,0.27569123430796505,0.5279098579440484,0.3838259332426272,0.45068100970970626,0.58504263945687,0.3882316490545436,0.5007413561949853,0.45609428614199876,0.32789005196553883,0.45781719852027786,0.4720315059060007,0.6218920683990165,0.7797574155272867,0.6105156592706513,0.7854636468495064,0.6264371134118326
inferiorparietal,0.6163383965818157,0.2547955150498295,0.5334478103263455,0.3912855755371887,0.43514086343131125,0.4347945448455244,0.664273315546516,1.0,0.6584739544935804,0.6727706108648147,0.3584259575153569,0.5793884752160333,0.5125800973427008,0.33949192896953334,0.43879225478316164,0.7244728720452847,0.45357940665133434,0.46721967708075146,0.4325331752245853,0.595791772312626,0.5250089910684571,0.36784164137514086,0.6531649853534696,0.3301771879197273,0.6037313007803575,0.49229531944679167,0.31719765752085766,0.6278096123585157,0.5724878930341236,0.7633940523535138,0.7313608850531145,0.719094243539731,0.590052207408496,0.6085392640437337
inferiortemporal,0.7555851211042998,0.17328074829810328,0.28818661936363027,0.20378924555206854,0.4844658634277034,0.40214542851238017,0.8768902132737489,0.6584739544935804,1.0,0.63265401640193,0.2557487397941305,0.41539130174143873,0.5548675273238906,0.18353923071557368,0.5367646720777224,0.9649218355935125,0.29938962858171436,0.4316048634891042,0.23110165399373422,0.529026021563301,0.3576982448201186,0.20357744256795027,0.4538013783419344,0.23876738947676707,0.35091369154014174,0.2314140441145358,0.25178725763011983,0.4140565770056708,0.36935849426746836,0.4414198394082415,0.8408815377160295,0.5074792963084354,0.8541988025026759,0.6067900563008528
insula,0.5498473854826873,0.3037013987376324,0.5595405229021955,0.3015065142068039,0.47764337653973105,0.7315208937096133,0.6469477935327617,0.6727706108648147,0.63265401640193,1.0,0.31602452867409503,0.45925015038958267,0.880192387737559,0.270244413096244,0.8109242578850536,0.6556082610699561,0.46757856968802536,0.423205207707397,0.5002676662528366,0.8805916127063349,0.6985868321564764,0.2907799988998031,0.5785483649251691,0.3660958116300197,0.54890560518208,0.39398052733526434,0.4607041697089376,0.7138570013163456,0.6731479713362819,0.5835509630822964,0.7294731571777775,0.5959352890480322,0.8228829220491338,0.6076211407206215
