area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.17198501847231398,0.27987706723798866,0.25812708248532257,0.21343400507242768,0.36828098555530736,0.4545488476436769,0.6263850547751326,0.6389902414052165,0.6860866751094079,0.15625706801786757,0.3807098394821909,0.5053573985576011,0.22628878935613242,0.4797014177922146,0.8386626247163931,0.5529256054448116,0.29677277283230574,0.1492466867740295,0.5693437418442522,0.1641316733799049,0.22677579187981683,0.6070799548552781,0.18384357035642948,0.46420389053194117,0.23380020104822954,0.1989832813465609,0.4540330138898075,0.4215181756199395,0.473437377470654,0.8592410568205442,0.8004905130076512,0.5631773472043781,0.8210458240349168
caudalanteriorcingulate,0.17198501847231398,1.0,-0.01207743481870919,0.18936591350504545,0.8758951694558218,0.04901397190545652,0.31987629520955907,0.19492983447120132,0.28514679810726556,0.24604632481901528,0.6553781150083953,0.23455297221292895,0.2024706191901839,0.1501772690230357,0.15908266833724413,0.24685420870496025,0.35868188870219364,0.7086375257286556,-0.019508871870301054,0.30437737802825765,0.03187584496231208,0.16096615164939224,0.20490414221122347,0.8546863985446446,0.02865678608602663,0.4720837760743259,0.9603604232443944,0.0967473136012348,0.24827800230760422,0.23620481437570745,0.2288780983431804,0.13806554912735833,0.386108484291884,0.1383338089045025
caudalmiddlefrontal,0.27987706723798866,-0.01207743481870919,1.0,0.06979273244664165,-0.05080246586529861,0.4159564667753298,0.06692960211012186,0.32888209953266867,0.16307677133966142,0.3896855416774974,-0.020565355178866082,0.08456644147496353,0.28968493410655666,0.04175918858808648,0.3384296526531569,0.26565512751324016,0.33692210248105825,-0.01711507736221662,0.6906039826707313,0.3004759467861519,0.48742650026741957,0.05666081432597554,0.20874059463212943,-0.006827290618917555,0.7484836978053113,0.04856192554952326,0.00996621770295719,0.7171327977451833,0.7948176522496978,0.2506881919648248,0.31655527072089223,0.31843472684903135,0.13457865062398258,0.2516874641633219
cuneus,0.25812708248532257,0.18936591350504545,0.06979273244664165,1.0,0.22412611791551412,0.16398313328980693,0.4808682759588597,0.3092045376305591,0.27053892203140545,0.3724569236824607,0.28481135280304437,0.9061180893796533,0.40165693023745974,0.8567025254634807,0.21939409093534862,0.2657150763092561,0.46158358095226576,0.47973079733255636,0.015098621440046587,0.3850475720106308,0.045627869041954115,0.9406109551195716,0.34770033654990296,0.2711936047324824,0.19148757914133205,0.47091668113939855,0.1907045999684621,0.20656619171580456,0.19456470625672265,0.44846068995127747,0.33428709571334814,0.33426301409716075,0.2797289630704139,0.27834758206407645
entorhinal,0.21343400507242768,0.8758951694558218,-0.05080246586529861,0.22412611791551412,1.0,0.0069233161377696565,0.4657749129453699,0.23915085891373714,0.3541993006901483,0.2891040754419693,0.7083545820522078,0.3086176259658672,0.24808036698035746,0.20211676256612296,0.15132043855690028,0.29099395211362566,0.38644077715907105,0.8475584440907931,-0.06457111812499948,0.3695180066599751,0.005534732443103115,0.21108884182869186,0.258294603211231,0.7481820465073875,0.022327203266434982,0.4839935844491436,0.8922515129413219,0.0752438421111702,0.19502551083032799,0.28711623662787467,0.2941817756192039,0.18391871253065212,0.4676023329224705,0.19762478191349706
frontalpole,0.36828098555530736,0.04901397190545652,0.4159564667753298,0.16398313328980693,0.0069233161377696565,1.0,0.21659593781016348,0.4194269205443284,0.38625796299659926,0.5895837024077086,0.06987018617812257,0.21498297524739143,0.656571417927514,0.11190470054666052,0.7883209019743218,0.4438457023952313,0.3983765707470474,0.07858285486759328,0.4226399037816279,0.5437229972881149,0.3934609783611844,0.1318380170433221,0.299151124678126,0.09577579533221595,0.3648216394125022,0.16185997577623826,0.07916775260200001,0.7451778651945249,0.6709233680705353,0.3685705199583908,0.45989675452524764,0.33938075671592943,0.43029998362887933,0.32138656050391645
fusiform,0.4545488476436769,0.31987629520955907,0.06692960211012186,0.4808682759588597,0.4657749129453699,0.21659593781016348,1.0,0.46878127653989277,0.7094566151809532,0.5535134479574882,0.25260998715682403,0.6742488245930476,0.5400727223493782,0.5244442133528777,0.3875165921992573,0.5769008574620212,0.5090093273179152,0.7007424076477411,0.00983710711321967,0.6483279041696224,0.07997786847075576,0.5018379995751107,0.45587520738461385,0.31192546013219213,0.20550198351607563,0.42619650378987556,0.3414815172959311,0.2926583777035467,0.2606712819068808,0.47106610139358096,0.5661633969866989,0.4356513080316728,0.6801051998434926,0.4039384482398213
inferiorparietal,0.6263850547751326,0.19492983447120132,0.32888209953266867,0.3092045376305591,0.23915085891373714,0.4194269205443284,0.46878127653989277,1.0,0.6308895222810257,0.7176228991028563,0.1990730033279525,0.44853605949119657,0.5540170023791158,0.2380359493807712,0.4745257088917561,0.7216469230455919,0.5887149386459335,0.32068349097736054,0.23520964718157797,0.6769423650826631,0.252893841182634,0.27220249024307386,0.47321518935179685,0.2166331939074713,0.3548870484362535,0.3706621563905251,0.23333319980343373,0.5477337677208653,0.5275517239383444,0.6937444051421614,0.7140600829150562,0.5214806896717956,0.5565527287386528,0.5266787613958152
inferiortemporal,0.6389902414052165,0.28514679810726556,0.16307677133966142,0.27053892203140545,0.3541993006901483,0.38625796299659926,0.7094566151809532,0.6308895222810257,1.0,0.6273855648780053,0.21073080299458627,0.45934091552030515,0.5509685946845764,0.24226632747998156,0.531971981574018,0.9019406219338726,0.4804177023424967,0.42782999778815545,0.09867873326542605,0.7066298101798394,0.16210152150403165,0.2554253600520874,0.45044296340395035,0.2832687774363152,0.2624605014781042,0.29617676512436303,0.31446775189746,0.4355710233004626,0.3738142579609838,0.4354810377230517,0.685068385869817,0.45017568991104173,0.8221610778360576,0.4176430657743748
insula,0.6860866751094079,0.24604632481901528,0.3896855416774974,0.3724569236824607,0.2891040754419693,0.5895837024077086,0.5535134479574882,0.7176228991028563,0.6273855648780053,1.0,0.21446165470593068,0.5013349536566025,0.8177081460517462,0.28794605725888334,0.7462029338601803,0.7292543817939705,0.7225120602807958,0.3973285362583382,0.29872080802378953,0.8333362070186581,0.3180705531851805,0.3292483316936574,0.6838091878438611,0.2607521490406807,0.5219216019798436,0.4093494959841331,0.29791083050232364,0.6815871236225198,0.6529596015069364,0.7153514720740636,0.895546936503419,0.6971464817446862,0.7584174185011808,0.7069704615553347
isthmuscingulate,0.15625706801786757,0.6553781150083953,-0.020565355178866082,0.28481135280304437,0.7083545820522078,0.06987018617812257,0.25260998715682403,0.1990730033279525,0.21073080299458627,0.21446165470593068,1.0,0.2944004054873225,0.18180301143874103,0.22772270425776658,0.11069675970339342,0.20756116189462911,0.5113869384115295,0.6470472485117097,-0.03334661572427841,0.24652454648320177,0.017835495280408873,0.2610000756404009,0.17663214474864913,0.7783302389164152,0.012845802464426815,0.556052908564298,0.6501169040586195,0.08765955217491725,0.19323223311281826,0.2616045046510822,0.2065984297854054,0.13208869493368833,0.26313480102605963,0.12420881490899252
lateraloccipital,0.3807098394821909,0.23455297221292895,0.08456644147496353,0.9061180893796533,0.3086176259658672,0.21498297524739143,0.6742488245930476,0.44853605949119657,0.45934091552030515,0.5013349536566025,0.2944004054873225,1.0,0.5213685972016526,0.8641859767664478,0.3156962727545735,0.43173337047909716,0.5466062794081558,0.6034186307668581,0.026639270476857862,0.5447609920390114,0.07730916590509915,0.91552321933277,0.44069262865166803,0.3030979639845737,0.22652049833294008,0.5140423789377052,0.24381448898704441,0.281270986030991,0.25263616418492224,0.5429450396799474,0.47747122775576495,0.4235614764107562,0.45156105221094434,0.37444590844750403
lateralorbitofrontal,0.5053573985576011,0.2024706191901839,0.28968493410655666,0.40165693023745974,0.24808036698035746,0.656571417927514,0.5400727223493782,0.5540170023791158,0.5509685946845764,0.8177081460517462,0.18180301143874103,0.5213685972016526,1.0,0.3663964644907737,0.8674575524954323,0.5848330258658506,0.5273357462031585,0.4067698624117476,0.27491443145219957,0.8416729613292098,0.312655603967266,0.3833410801925505,0.4731129044334471,0.225147699443782,0.35925901521102555,0.34123359919727053,0.25245700571137714,0.6565561902026776,0.5635346219333325,0.5580461705272246,0.676326401580796,0.4891999900255351,0.7401912852441068,0.512930614437842
lingual,0.22628878935613242,0.1501772690230357,0.04175918858808648,0.8567025254634807,0.20211676256612296,0.11190470054666052,0.5244442133528777,0.2380359493807712,0.24226632747998156,0.28794605725888334,0.22772270425776658,0.8641859767664478,0.3663964644907737,1.0,0.17130668094672627,0.22516503776273208,0.3639546861036246,0.5066156551725964,-0.00779843870478262,0.3521609473880493,0.021174988717216618,0.8847067949312776,0.28251271866826266,0.21422153551268025,0.14682286398302366,0.37820098412823233,0.1423354863734387,0.15944885789321625,0.13209219689198465,0.3547942828094077,0.27129443585485796,0.2785801959968575,0.23157392958469622,0.23542809421550276
medialorbitofrontal,0.4797014177922146,0.15908266833724413,0.3384296526531569,0.21939409093534862,0.15132043855690028,0.7883209019743218,0.3875165921992573,0.4745257088917561,0.531971981574018,0.7462029338601803,0.11069675970339342,0.3156962727545735,0.8674575524954323,0.17130668094672627,1.0,0.576275051814049,0.43555686345813277,0.22548389888589027,0.34835738814375694,0.7715419980364034,0.35303528677427304,0.192120262119924,0.38876294860989863,0.17132862734390067,0.3716077062013358,0.22319087357385053,0.2111787617896428,0.7020269875286378,0.615688917908191,0.4162523659238023,0.6231856952402172,0.4149973126333907,0.7142552013345655,0.4643350875818918
middletemporal,0.8386626247163931,0.24685420870496025,0.26565512751324016,0.2657150763092561,0.29099395211362566,0.4438457023952313,0.5769008574620212,0.7216469230455919,0.9019406219338726,0.7292543817939705,0.20756116189462911,0.43173337047909716,0.5848330258658506,0.22516503776273208,0.576275051814049,1.0,0.5667929609735118,0.35857954720928237,0.15178357112957233,0.7057178765168152,0.187530737069432,0.238173671981905,0.5502488067984754,0.2619259258773387,0.3930321506704681,0.27863063881047595,0.2747209983256783,0.5049589284640753,0.4571946101367875,0.5095487561603094,0.8492623354861389,0.6290401921856176,0.7684538285225044,0.6233323470591522
paracentral,0.5529256054448116,0.35868188870219364,0.33692210248105825,0.46158358095226576,0.38644077715907105,0.3983765707470474,0.5090093273179152,0.5887149386459335,0.4804177023424967,0.7225120602807958,0.5113869384115295,0.5466062794081558,0.5273357462031585,0.3639546861036246,0.43555686345813277,0.5667929609735118,1.0,0.53893472744794,0.17662469234615288,0.5725986151748468,0.17605548940498797,0.4227528006125981,0.607914255721188,0.5167107317301385,0.46681584684057587,0.6397165492504923,0.37165170013787463,0.48118827267671405,0.553901086464772,0.6797634965914996,0.7017030181166238,0.6211388945838117,0.49230216362708223,0.5404770755157737
parahippocampal,0.29677277283230574,0.7086375257286556,-0.01711507736221662,0.47973079733255636,0.8475584440907931,0.07858285486759328,0.7007424076477411,0.32068349097736054,0.42782999778815545,0.3973285362583382,0.6470472485117097,0.6034186307668581,0.4067698624117476,0.5066156551725964,0.22548389888589027,0.35857954720928237,0.53893472744794,1.0,-0.05849483213583112,0.4888602262065463,0.010080539693471025,0.49205422115875186,0.3512416862596844,0.7045808831725292,0.09353435543600506,0.5604945530423175,0.7054655435352988,0.14979560882193074,0.22622098792339168,0.425694940671475,0.39541943621611175,0.2993758578386575,0.506252878458166,0.2912310165238404
parsopercularis,0.1492466867740295,-0.019508871870301054,0.6906039826707313,0.015098621440046587,-0.06457111812499948,0.4226399037816279,0.00983710711321967,0.23520964718157797,0.09867873326542605,0.29872080802378953,-0.03334661572427841,0.026639270476857862,0.27491443145219957,-0.00779843870478262,0.34835738814375694,0.15178357112957233,0.17662469234615288,-0.05849483213583112,1.0,0.39613838998551293,0.8978021419270317,0.004995878149078315,0.04013432140595431,-0.02863642341900271,0.43691686670369706,0.030481297159602808,0.008862982180539736,0.7788460002553608,0.7250576079434118,0.16066756930004045,0.18132373229329318,0.13545215905050886,0.12064586526043972,0.1329821965137225
parsorbitalis,0.5693437418442522,0.30437737802825765,0.3004759467861519,0.3850475720106308,0.3695180066599751,0.5437229972881149,0.6483279041696224,0.6769423650826631,0.7066298101798394,0.8333362070186581,0.24652454648320177,0.5447609920390114,0.8416729613292098,0.3521609473880493,0.7715419980364034,0.7057178765168152,0.5725986151748468,0.4888602262065463,0.39613838998551293,1.0,0.49696634882954555,0.36661864640833064,0.4758873258192347,0.2972782420334384,0.34898615646171927,0.42225530079043794,0.3620596625573842,0.7099549203412706,0.5980394871414603,0.6231012138475691,0.7480891440886962,0.4878128809730092,0.8709635169543133,0.5374186921274233
parstriangularis,0.1641316733799049,0.03187584496231208,0.48742650026741957,0.045627869041954115,0.005534732443103115,0.3934609783611844,0.07997786847075576,0.252893841182634,0.16210152150403165,0.3180705531851805,0.017835495280408873,0.07730916590509915,0.312655603967266,0.021174988717216618,0.35303528677427304,0.187530737069432,0.17605548940498797,0.010080539693471025,0.8978021419270317,0.49696634882954555,1.0,0.03533802265519856,0.06868915033836782,0.021662734635761304,0.3099308376449821,0.08466359239688215,0.061029570052572306,0.7336792582549198,0.5996164474246661,0.18913909205499702,0.20847205383712247,0.14863299658664528,0.19583477294330587,0.14939159856196108
pericalcarine,0.22677579187981683,0.16096615164939224,0.05666081432597554,0.9406109551195716,0.21108884182869186,0.1318380170433221,0.5018379995751107,0.27220249024307386,0.2554253600520874,0.3292483316936574,0.2610000756404009,0.91552321933277,0.3833410801925505,0.8847067949312776,0.192120262119924,0.238173671981905,0.4227528006125981,0.49205422115875186,0.004995878149078315,0.36661864640833064,0.03533802265519856,1.0,0.3147884952601817,0.24995888660439303,0.16977047940129003,0.431091943380384,0.15475999020244255,0.17779063514228494,0.15548690643356122,0.40118616882861846,0.2935415258081517,0.2979335878255134,0.2581235727761464,0.2475789854591877
