area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.1971081788419546,0.29140636425333905,0.25920020024478446,0.24427685384210554,0.38225339686699317,0.5461884802913584,0.6276572986488248,0.665063368471788,0.6077568716869035,0.1628497228581159,0.4007182414507264,0.4634563817950367,0.24553532698085476,0.4264866793570891,0.8224413535247693,0.5539539263974357,0.3490986665264114,0.18414789686236324,0.5365351208783107,0.26800974659361315,0.23963747382343478,0.6242128271247911,0.2041867015495389,0.4392382765329814,0.2894069635874698,0.2110239919742447,0.43706314491053544,0.38243428076022973,0.4821098491124634,0.7956162794118155,0.7122390235737021,0.527234454220613,0.7159427278889784
caudalanteriorcingulate,0.1971081788419546,1.0,0.09984923628885305,0.13306166246288728,0.8179617545486099,0.2188317547043474,0.2579664505300496,0.2389378276027858,0.25825403442431444,0.2967712326603441,0.58589724290061,0.17421478824667794,0.29520636123275945,0.11222691306285343,0.2965734899893439,0.2828685745318191,0.4018418894502632,0.6754425366209285,0.10579155325549218,0.33892804739629734,0.1681973417205085,0.1119069029128707,0.2075657139040724,0.8665192636499265,0.10729142351387233,0.4751979112279008,0.960396017775941,0.22822996695679656,0.3577726997706367,0.2442502829683538,0.3051717217134747,0.2004589635966128,0.37772519888363687,0.23914916576944542
caudalmiddlefrontal,0.29140636425333905,0.09984923628885305,1.0,0.17025514902107433,0.04944208789791546,0.46201232656000685,0.15830837465137987,0.3784302299990613,0.1711981899037632,0.4354052126969347,0.06194561576178705,0.20431064327394863,0.3396794415732043,0.14968973370459646,0.3578098369942562,0.2974304188476464,0.44927573691378586,0.11652717126219828,0.7596783462826592,0.35548612747319136,0.664917701735048,0.1628935326792991,0.31915790927942334,0.09617805041951848,0.8044915128055632,0.19838004071541968,0.1307310110888031,0.7345806602052846,0.7611552890052259,0.355995556112692,0.41369763464705156,0.3879696775323132,0.20519860204157758,0.37711848056633296
cuneus,0.25920020024478446,0.13306166246288728,0.17025514902107433,1.0,0.20422116943781277,0.22232226613208556,0.4961543701595272,0.34683014595481637,0.24992452731790232,0.355450474820631,0.26939685534693125,0.9023208335858289,0.376688269223575,0.8674315659749745,0.23564840176693014,0.2769926671063517,0.4689053689494709,0.47874270726586754,0.08655394756774464,0.3853226884998505,0.15366758024107202,0.9391756289108257,0.31968871737496174,0.19310983883426405,0.23741206492942385,0.4806636971118698,0.14642246890560945,0.27860359334451,0.2432607253452224,0.4586309670426167,0.3586520948688015,0.31083588191384354,0.2570886854036263,0.3190956383555456
entorhinal,0.24427685384210554,0.8179617545486099,0.04944208789791546,0.20422116943781277,1.0,0.203567021847963,0.4171462902464062,0.26149993117413534,0.31511073817579577,0.33698087816747385,0.7167712740656795,0.27449707323966205,0.3365140105087376,0.18603097613208636,0.2994999657664254,0.3162600543702062,0.4279134440220489,0.8496058723819061,0.02291711615611406,0.389933032345904,0.09759960648072825,0.18895662202749325,0.24494608196446702,0.6763987817825972,0.09643131347415762,0.48532016963333247,0.8294136503551073,0.18729056815815165,0.2811822090928965,0.3060267906847169,0.361626090108671,0.24135976446228127,0.45295416973299046,0.2921852034090207
frontalpole,0.38225339686699317,0.2188317547043474,0.46201232656000685,0.22232226613208556,0.203567021847963,1.0,0.34247604386751124,0.45959382136156895,0.38903161966444977,0.6482313107692768,0.20597586417466285,0.3212436525136638,0.7188195684474572,0.20463065396600585,0.8057206316463066,0.4526011794987546,0.4621347319532668,0.2747706686976014,0.5040862555965354,0.6530180350081377,0.6107616208458885,0.21843111734788762,0.3466312934948179,0.23086496664055534,0.4027829325850063,0.27864771606378136,0.2702729084879542,0.8082088919551872,0.7174513174766177,0.4276453952959963,0.5495987626922374,0.37600206572001443,0.5464087942096566,0.44736426122479767
fusiform,0.5461884802913584,0.2579664505300496,0.15830837465137987,0.4961543701595272,0.4171462902464062,0.34247604386751124,1.0,0.5453566444835882,0.7518897491087391,0.5715765942120188,0.2674507416550682,0.6810823287093128,0.5461878607154331,0.5463682469346486,0.44165795841536487,0.6836011420431515,0.5428114783191009,0.6730321269778475,0.07711962606502137,0.6703849014166291,0.19923644410676247,0.5064491544720975,0.46228183450679516,0.26496623758594745,0.25889937846953165,0.4236315343426856,0.27952866939964627,0.378370413751492,0.307023699831442,0.5242076073600975,0.647117669125204,0.44788714253452044,0.68326122555523,0.4799692168095336
inferiorparietal,0.6276572986488248,0.2389378276027858,0.3784302299990613,0.34683014595481637,0.26149993117413534,0.45959382136156895,0.5453566444835882,1.0,0.6161677457682705,0.728447084821942,0.22194243994020962,0.4966864755363495,0.6006402223625876,0.29502603865567195,0.49741253149928993,0.7341167510922434,0.6721734184492695,0.39209710639706025,0.3063194217183419,0.6973747848762627,0.43300107601346866,0.3114847803092527,0.5636450867089882,0.26721601713268844,0.427733972060503,0.43888945004659474,0.27106132970818547,0.5919041703772419,0.5058170094905233,0.725881181113548,0.7686220192632038,0.5816679114209086,0.5597331931268577,0.6231263504158289
inferiortemporal,0.665063368471788,0.25825403442431444,0.1711981899037632,0.24992452731790232,0.31511073817579577,0.38903161966444977,0.7518897491087391,0.6161677457682705,1.0,0.5759605497348169,0.2051264866995258,0.43745145661187995,0.5189441026696393,0.24923672694959145,0.48831750530366547,0.918625166008174,0.47559289514039454,0.4254661217931036,0.11560799256991773,0.6676813786064801,0.24862258728597625,0.2374429978036303,0.43282306419865096,0.26647210620232753,0.2414077034202743,0.31448526783165925,0.27890363825431685,0.4122660999254985,0.3099789326785217,0.43434850135599395,0.6891781661740792,0.4176097388930111,0.7671034778630327,0.4375927733522989
insula,0.6077568716869035,0.2967712326603441,0.4354052126969347,0.355450474820631,0.33698087816747385,0.6482313107692768,0.5715765942120188,0.728447084821942,0.5759605497348169,1.0,0.2528921548813632,0.48852763292004286,0.8501551284018635,0.3017130723809848,0.7949715706408588,0.6953224926480375,0.7245074179048125,0.44304941906621226,0.37209516542149185,0.8698545741872631,0.5400738021173608,0.31204501072307056,0.6801366385343888,0.29686916101865585,0.5201945667158775,0.44405945487941445,0.35718231728187855,0.7047680033147916,0.6248994316349832,0.716008071847206,0.8847108945100652,0.6745367543868835,0.7989306179963732,0.7388873011038124
