area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.08028530156106309,0.11727926355333086,0.07457452095713533,0.22139169658957306,0.11839127827267659,0.22488066791172084,0.38878510282382717,0.3400500488623847,0.2711391207904973,0.09553685649463643,0.3132048166694094,0.19710062674696865,0.15353966479596556,0.15345443146685708,0.49245960196886873,0.18951047805160579,0.18653145253360692,0.11015423235376179,0.17424195492214162,0.13422569867920317,0.039904094964957025,0.16203699946496447,0.09267505308785078,0.049884703075092914,0.10569735707768704,0.09964848679185698,0.10791184606585928,0.08159734156441921,0.2326641658312735,0.5838874486805424,0.2990865587755271,0.3348324128222183,0.5052128904640022
caudalanteriorcingulate,0.08028530156106309,1.0,0.631024582512498,0.1890626403329182,0.20478621497762517,0.3986555056002892,0.1344680341945432,0.2026772459832449,0.12021716617536704,0.3267606209195608,0.356063820106099,0.3966782979620848,0.34219783585828684,0.32309207260548384,0.37187260731666405,0.11054448722078876,0.6319885880021183,0.21511462617275226,0.37761399590502287,0.41389617138415224,0.3530747072147648,0.1966033393807222,0.19458081296201052,0.7311450717457512,0.21133850941119842,0.45858984197662456,0.5285945131567008,0.5007903137606624,0.7617736888821385,0.35629570851300263,0.11659870905099334,0.24114413180133826,0.3399323083841094,0.22228672365516686
caudalmiddlefrontal,0.11727926355333086,0.631024582512498,1.0,0.14237291322529355,0.1955242388067387,0.4681616146966862,0.17650528524647416,0.33754502692499727,0.16384523054900033,0.47758317683628493,0.13797928225968564,0.41249841269309967,0.47733942552927344,0.25402993149186853,0.4732370411244969,0.1576444552343162,0.7020195584643205,0.1972444389511542,0.6903824840452074,0.604001578951911,0.5908970308031267,0.12538078743625622,0.37896063267863617,0.4468327396549348,0.6095523739903314,0.30690613543714124,0.43511779038941395,0.7607847562231275,0.8300441877776374,0.43197039803401643,0.1792357438806467,0.35865845772972765,0.4420971319361898,0.3141058389804591
cuneus,0.07457452095713533,0.1890626403329182,0.14237291322529355,1.0,0.13042672862975468,0.08999679644691164,0.08660509057416418,0.12211184542168473,0.05226805469868479,0.08907830259907969,0.13009493088350457,0.4242350682611076,0.09926202743491169,0.4801708871986272,0.08182221170109985,0.061293346271555665,0.29010330348324553,0.1464803010264076,0.08613465680815167,0.0938885829196598,0.05898697973857589,0.735294618971713,0.14641749755337904,0.2078899332156456,0.07337544361044071,0.21696007917989069,0.09562161207488266,0.10038085220666618,0.15201800868747206,0.178706353292315,0.05947449508398588,0.1487730738235027,0.10506024740598582,0.11885529149879585
entorhinal,0.22139169658957306,0.20478621497762517,0.1955242388067387,0.13042672862975468,1.0,0.15964041362130005,0.6150530986475453,0.35886224419912627,0.32191069470457184,0.2662519919326593,0.26723094781068807,0.6374982980899118,0.22249389438807463,0.35948927289603744,0.1836255893758239,0.24895071695068066,0.24932145447915727,0.7888417736341105,0.1428676698029179,0.20598878265024553,0.14460301718679802,0.12002402894369386,0.1573438453972465,0.2298526280699442,0.10613784851471425,0.19488070906408722,0.11909227446012793,0.16665271483544866,0.16355238802756053,0.2618672483074972,0.23172323787502544,0.21320162745223492,0.41821830382745956,0.3003194744610029
frontalpole,0.11839127827267659,0.3986555056002892,0.4681616146966862,0.08999679644691164,0.15964041362130005,1.0,0.09073828111530645,0.2682815542202948,0.13168019481036167,0.5910653053655286,0.10553942677585584,0.28968622011110834,0.7424709568030905,0.1914002278007357,0.8748344058349096,0.17185728655803525,0.4612512537734157,0.11698272372045987,0.41227131318427956,0.6637494488000097,0.47144439763173396,0.06938749298534205,0.20992424749485242,0.2670005975539694,0.14222446845557768,0.1878372599007228,0.6838939803977008,0.5956657649776887,0.4873061147483297,0.316846356600893,0.21371995526824666,0.24398583995731588,0.5290751569431669,0.28038557635974093
fusiform,0.22488066791172084,0.1344680341945432,0.17650528524647416,0.08660509057416418,0.6150530986475453,0.09073828111530645,1.0,0.3074571865614933,0.5477363203246641,0.18955213148345207,0.14556432527786928,0.5946582277675952,0.14016673428730134,0.2799416030187081,0.10254464461086203,0.3121103958172103,0.2098151865133953,0.7145363160634524,0.1355283578999327,0.1388352756626518,0.12590468769804247,0.06524024774902082,0.11832782486656461,0.17625511429023014,0.10397999092662863,0.1372423634568997,0.06188809214318102,0.13486402166774902,0.1222135811831398,0.22285616495699684,0.21920864526155417,0.18422178305867284,0.3003205434446373,0.2561104875998396
inferiorparietal,0.38878510282382717,0.2026772459832449,0.33754502692499727,0.12211184542168473,0.35886224419912627,0.2682815542202948,0.3074571865614933,1.0,0.35677008349018263,0.3882871433508597,0.17019523647952448,0.5594337145779789,0.32476428077591096,0.21912872564123198,0.3201340343475709,0.4092165042469553,0.39807192531726787,0.3263281268126156,0.25685194082708823,0.32317696623322095,0.24531487986567915,0.08153944039966586,0.2848220492151326,0.2089698919616027,0.19206855022894462,0.2122315965300099,0.2482577629852744,0.24790584169658564,0.21086198167571893,0.4711800264602864,0.35833549373179574,0.38241660410321154,0.4758788385190032,0.41203185119753993
inferiortemporal,0.3400500488623847,0.12021716617536704,0.16384523054900033,0.05226805469868479,0.32191069470457184,0.13168019481036167,0.5477363203246641,0.35677008349018263,1.0,0.21815864082871267,0.13447092942579675,0.45158291798798217,0.16919866484343055,0.16574638288594915,0.15709172457543125,0.5889779591854511,0.20713513215305135,0.33180135761079943,0.15458989065748413,0.1718871792159992,0.15044711780708744,0.00692126046707073,0.10421172580374996,0.1353331308637305,0.0599159223497796,0.11433876837864544,0.12452745465174657,0.14610694533570848,0.12293033669581588,0.19788025047888141,0.3373605268396769,0.2200613526295951,0.33455376647179536,0.3095245437691705
insula,0.2711391207904973,0.3267606209195608,0.47758317683628493,0.08907830259907969,0.2662519919326593,0.5910653053655286,0.18955213148345207,0.3882871433508597,0.21815864082871267,1.0,0.1182134529602245,0.3652070039250919,0.694760733662785,0.2092759396979327,0.6378589263213591,0.25890429227126643,0.49445609387467154,0.20095415874187791,0.49805307365537005,0.7457668663076833,0.6390012352884652,0.06600231620501522,0.2797358836784502,0.2835148264009581,0.18530613639209986,0.19522373277455754,0.44964885829488926,0.5676037954108022,0.44125471473733413,0.3922138570067239,0.41478023934019664,0.3345210850775656,0.6449151278228497,0.4880750169932505
