area,bankssts,caudalanteriorcingulate,caudalmiddlefrontal,cuneus,entorhinal,frontalpole,fusiform,inferiorparietal,inferiortemporal,insula,isthmuscingulate,lateraloccipital,lateralorbitofrontal,lingual,medialorbitofrontal,middletemporal,paracentral,parahippocampal,parsopercularis,parsorbitalis,parstriangularis,pericalcarine,postcentral,posteriorcingulate,precentral,precuneus,rostralanteriorcingulate,rostralmiddlefrontal,superiorfrontal,superiorparietal,superiortemporal,supramarginal,temporalpole,transversetemporal
bankssts,1.0,0.01182015713619466,0.07626544381060725,0.07109666709784473,0.14130951324028762,0.10729634976456046,0.17054857835991544,0.3217055308067932,0.2024476673857833,0.18991646341608273,0.025341141432132848,0.247219389872685,0.13897374816679592,0.09313559557165363,0.1033401162783108,0.33894516674471603,0.13650116224844477,0.16355243089005939,0.0979770536787097,0.10175860175431566,0.12323296086325701,0.04847113293862434,0.10659164377836478,0.05452064926009502,0.04888957478515542,0.08059332625565775,0.07413085356977901,0.09527852383885949,0.0434801918134946,0.18397601462946342,0.45942324446928295,0.24685175618354038,0.2043406173271379,0.3933099337147779
caudalanteriorcingulate,0.01182015713619466,1.0,0.6693346467732934,0.10977747255751591,0.12043833364097488,0.362150670626326,0.015292058976574903,0.12222092053316172,0.0717171920886517,0.3744100065336827,0.2848559389255887,0.19230203097846227,0.36310333145288515,0.13630253198762207,0.3576505526895929,0.03712790432765859,0.5963402645528432,0.10088920915900522,0.4007113860843464,0.4765309029634356,0.35941011078621854,0.09896329401797212,0.22398095577697316,0.6021369917188615,0.16534747619507098,0.346357111078955,0.5742702827722024,0.4729506151772601,0.8046617409219601,0.2831860604895614,0.07657459135450294,0.16874957711691208,0.2629420687511205,0.12927382423124947
caudalmiddlefrontal,0.07626544381060725,0.6693346467732934,1.0,0.10877482747800281,0.10362119242258415,0.42070538018881337,0.03300218212289705,0.2894271764226242,0.10247101776572339,0.47598080170761403,0.13148977281316268,0.24482135425610282,0.40821375030498397,0.14411082137025155,0.3986346933078203,0.10210321218675888,0.6089812414744056,0.08438573709162879,0.5897191867709721,0.5334705320342246,0.5215013023655067,0.09433748383185092,0.27880114532479877,0.34199023188712413,0.4020487231081246,0.27303640515460226,0.5464045059292016,0.6897497827008454,0.7869167344460447,0.3681628456787026,0.1524808275589462,0.2679108150132592,0.33974761724479835,0.19597051229930101
cuneus,0.07109666709784473,0.10977747255751591,0.10877482747800281,1.0,0.16160945628144696,0.12789312758354807,0.08383249950671197,0.1148267928797484,0.05744774407974801,0.11836713852759158,0.16869734077448292,0.4624157333376761,0.1321082108629401,0.5194994288002309,0.12305766306338191,0.06313141984578668,0.2776868571297032,0.13830882899031746,0.12393783971370738,0.14845557535476397,0.11141757046584401,0.7494094808733509,0.08931977640476164,0.15120911795866948,0.0669588661741241,0.1858763037181067,0.09648527392854553,0.12282785593419933,0.12722708136594768,0.1229466159537541,0.041169097541278774,0.12216279086603851,0.12938080771887261,0.03990065236289647
entorhinal,0.14130951324028762,0.12043833364097488,0.10362119242258415,0.16160945628144696,1.0,0.11770746627589866,0.5433963914352998,0.24120644305738706,0.20532222103517178,0.20422106197567874,0.28356994446205014,0.629175967934984,0.18632210817054357,0.3546095073438407,0.14499181707018524,0.14673762905737575,0.20833158755314166,0.7414412100864197,0.11639108571368431,0.1551252439593657,0.12887351342102749,0.2160005158874572,0.10863550660455011,0.18837487128948274,0.10448673429942364,0.246261950018988,0.12689567819046574,0.0904387186336417,0.08496265627808929,0.22351220160253885,0.11479665361364479,0.14799124638486486,0.39422871525916997,0.11096727211700862
frontalpole,0.10729634976456046,0.362150670626326,0.42070538018881337,0.12789312758354807,0.11770746627589866,1.0,0.0001422225238365332,0.24783979503948983,0.06614127206345127,0.6260481576922073,0.13868786568078845,0.24484720922417552,0.7036443338010303,0.15945796319306824,0.8581664723358495,0.14727913295591497,0.4810816575278437,0.08845332539505943,0.4889529121756437,0.6772679624251706,0.5516955935454118,0.10637302843482874,0.17496441444202904,0.29307175421517034,0.04003132857249361,0.2356476486777612,0.6752879094959395,0.6027755368813849,0.4688699934240239,0.33610907558920294,0.2314568474216194,0.24665853014236963,0.5616542422955237,0.2482555792975834
fusiform,0.17054857835991544,0.015292058976574903,0.03300218212289705,0.08383249950671197,0.5433963914352998,0.0001422225238365332,1.0,0.2066842550605628,0.4921676138697439,0.034043004294390555,0.1250868047475091,0.5601955305592614,0.02877243881603317,0.23931882086072198,0.018257312421350588,0.2534680656752861,0.06234796163767114,0.6664842439465493,0.04598067696926799,0.0007226386658379671,-0.004193625648883801,0.09223923761259586,0.07596563264240543,0.03385629283532565,0.08328829038578314,0.09185639695011694,0.0337679199125173,-0.0009770226677675278,0.009844176634571497,0.126405780984387,0.12578926898238907,0.09212176483802755,0.15343404592029336,0.1334624341926756
inferiorparietal,0.3217055308067932,0.12222092053316172,0.2894271764226242,0.1148267928797484,0.24120644305738706,0.24783979503948983,0.2066842550605628,1.0,0.22023072210821046,0.3315327208715125,0.06654233759804708,0.48425917271222796,0.30162739652894255,0.20445823941236527,0.24185664037592303,0.3068922218922893,0.3456870399091107,0.20725581178255628,0.22031570635585535,0.26749267729019705,0.2676967047715266,0.12117358516521748,0.24085872897239052,0.12262936310895153,0.2005037350854099,0.20328330604954653,0.1727666794343544,0.25436497969894317,0.17454665889962628,0.43938052304066116,0.307288716059734,0.36694460837811416,0.3223454287585018,0.30348212556418563
inferiortemporal,0.2024476673857833,0.0717171920886517,0.10247101776572339,0.05744774407974801,0.20532222103517178,0.06614127206345127,0.4921676138697439,0.22023072210821046,1.0,0.09311915456593307,0.07877268728833704,0.3530475063001392,0.07900756991143155,0.09885695190704206,0.08027357825435737,0.5175062259841826,0.10031158987289185,0.23993005955865132,0.0915678845750921,0.06086974099575812,0.06782608801230844,0.047150454553570316,0.05493816025424037,0.03992559238540712,0.03729509191523022,0.045217272396963784,0.10159281898542245,0.0775425352827011,0.09312694020936933,0.09715174168063109,0.23581784027269032,0.10700011639720444,0.1840748301646081,0.18814078890108288
insula,0.18991646341608273,0.3744100065336827,0.47598080170761403,0.11836713852759158,0.20422106197567874,0.6260481576922073,0.034043004294390555,0.3315327208715125,0.09311915456593307,1.0,0.1539975906878599,0.3000862140998961,0.6828785031426762,0.177995838340243,0.6556507378241366,0.14207175702563274,0.4857987344847827,0.13940763448929064,0.5047963685743047,0.7012086557518592,0.6591821545806309,0.13664425845371142,0.1922305712922809,0.2826496029134585,0.08664778373803313,0.25448674025839707,0.5434678942537327,0.5367115028803164,0.46034170503601524,0.3705265933225481,0.36995277684746924,0.2767669696247844,0.6449294981585278,0.41358274424338715
isthmuscingulate,0.025341141432132848,0.2848559389255887,0.13148977281316268,0.16869734077448292,0.28356994446205014,0.13868786568078845,0.1250868047475091,0.06654233759804708,0.07877268728833704,0.1539975906878599,1.0,0.23918646870307536,0.15140556269936734,0.21891521539023276,0.1359629972040044,0.04201543381851731,0.26331009459515714,0.27180408891717944,0.10496503183190208,0.15887266860049065,0.11234153589859622,0.16811377263505722,0.07956334041234915,0.47119143715751605,0.07983615703537879,0.4336500459228378,0.17492598718537,0.12862398935154895,0.15278675599647318,0.14233317666691392,0.04918735794789743,0.0685715387427234,0.15292197028938884,0.01606946623760166
lateraloccipital,0.247219389872685,0.19230203097846227,0.24482135425610282,0.4624157333376761,0.629175967934984,0.24484720922417552,0.5601955305592614,0.48425917271222796,0.3530475063001392,0.3000862140998961,0.23918646870307536,1.0,0.30442124149612526,0.6071386860797815,0.2555698213693418,0.28347455974903046,0.44475014870270857,0.5690787350078694,0.2657768540084243,0.26213038789162746,0.243980011992138,0.4754544962754553,0.23295828360984114,0.2426229027574394,0.18175212895441867,0.36007305402240375,0.2046742876887581,0.23665426150828692,0.20257328036557834,0.4067784825287202,0.2121320576716067,0.29235789730569073,0.40691849605604924,0.2170342710219927
